zona,region,inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,dosis_total,primera_dosis,segunda_dosis,dosis_unica,dosis_refuerzo,lat,lng,created_at
8,costa,09,Guayas,4387434,0927,General Antonio Elizalde,13156,27782,14237,12471,400,674,-2.200000000000000,-79.17000000000000,01/01/2022
8,costa,09,Guayas,4387434,0901,Guayaquil,2723665,4138718,2104944,1840362,61994,131418,-2.183333000000000,-79.88333299999999,01/01/2022
8,costa,09,Guayas,4387434,0928,Isidro Ayora,14582,25896,12978,12034,273,611,-1.883333000000000,-80.16666700000000,01/01/2022
8,costa,09,Guayas,4387434,0924,Lomas de Sargentillo,24220,34154,18387,14689,460,618,-1.883333000000000,-80.08333300000000,01/01/2022
8,costa,09,Guayas,4387434,0910,Milagro,199835,280412,145306,123835,3416,7855,-2.126944000000000,-79.59916699999999,01/01/2022
8,costa,09,Guayas,4387434,0911,Naranjal,95052,129506,69790,55228,1480,3008,-2.672800000000000,-79.61499999999999,01/01/2022
8,costa,09,Guayas,4387434,0912,Naranjito,43862,62942,34585,25678,1217,1462,-2.173000000000000,-79.46710000000000,01/01/2022
8,costa,09,Guayas,4387434,0925,Nobol,26444,40178,21427,17519,526,706,-1.916671000000000,-80.01153900000000,01/01/2022
8,costa,09,Guayas,4387434,0913,Palestina,18451,23996,13333,9815,182,666,-1.626300000000000,-79.97700000000000,01/01/2022
8,costa,09,Guayas,4387434,0914,Pedro Carbo,51802,67155,36246,27904,1473,1532,-1.833333000000000,-80.23333300000000,01/01/2022
8,costa,09,Guayas,4387434,0921,Playas,59628,92231,48739,40749,780,1963,-2.623330000000000,-80.38750000000000,01/01/2022
8,costa,09,Guayas,4387434,0919,Salitre,65765,81783,45337,33683,711,2052,-1.829444000000000,-79.81555600000000,01/01/2022
8,costa,09,Guayas,4387434,0916,Samborondón,102404,293920,142961,128921,1530,20508,-2.183333000000000,-79.88333299999999,01/01/2022
8,costa,09,Guayas,4387434,0920,San Jacinto De Yaguachi,78204,89208,47134,37710,1970,2394,-2.120000000000000,-79.69000000000000,01/01/2022
8,costa,09,Guayas,4387434,0918,Santa Lucía,45004,63300,33316,28144,684,1156,-1.713889000000000,-79.98500000000000,01/01/2022
8,costa,09,Guayas,4387434,0922,Simón Bolivar,32224,43457,22846,18832,722,1057,-2.156667000000000,-79.88750000000000,01/01/2022
1,sierra,10,Imbabura,476257,1002,Antonio Ante,54311,94393,45521,42890,1512,4470,0.3200000000000000,-78.20999999999999,01/01/2022
1,sierra,10,Imbabura,476257,1003,Cotacachi,44203,85025,40461,38190,2456,3918,0.3000000000000000,-78.26666700000000,01/01/2022
1,sierra,10,Imbabura,476257,1001,Ibarra,221149,363472,169380,169222,6435,18435,0.3626780000000000,-78.13066700000000,01/01/2022
1,sierra,10,Imbabura,476257,1004,Otavalo,125785,196628,99905,88271,2753,5699,0.2333330000000000,-78.26666700000000,01/01/2022
1,sierra,10,Imbabura,476257,1005,Pimampiro,13269,30320,14659,13638,745,1278,0.4000000000000000,-77.97000000000000,01/01/2022
