provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Manabí,1562079,Bolívar,45493,-0.8419440000000000,-80.16194400000001,21,37,54,74,95,116,144,167,180,191,209,220
Manabí,1562079,Chone,131002,-0.6833330000000000,-80.09999999999999,46,81,136,221,320,405,483,560,604,661,728,773
Manabí,1562079,El Carmen,111344,-1.314700000000000,-80.01690000000001,30,62,94,147,175,214,267,316,352,390,429,464
Manabí,1562079,Flavio Alfaro,23822,-0.4054000000000000,-79.90580000000000,13,21,30,43,57,71,91,103,116,125,137,145
Manabí,1562079,Jama,26116,-0.2014000000000000,-80.26590000000000,4,6,8,12,18,20,26,29,36,42,44,48
Manabí,1562079,Jaramijó,28439,-0.9487300000000000,-80.63630000000001,5,8,14,48,72,80,87,92,96,102,106,111
Manabí,1562079,Jipijapa,74645,-1.333330000000000,-80.58329999999999,30,50,97,297,378,416,451,496,537,578,615,652
Manabí,1562079,Junín,18820,-0.9291600000000000,-80.20569000000000,9,14,24,31,38,43,50,52,60,71,85,96
Manabí,1562079,Manta,264281,-0.9500220000000000,-80.71620000000000,156,304,443,961,1374,1540,1712,1898,2067,2262,2436,2628
Manabí,1562079,Montecristi,107785,-1.033330000000000,-80.65000000000001,19,37,54,235,295,312,334,363,385,405,427,455
Manabí,1562079,Olmedo,10194,-1.396111000000000,-80.20611100000001,9,12,15,21,21,27,33,36,42,50,56,60
Manabí,1562079,Paján,37093,-1.570000000000000,-80.42000000000000,11,24,46,104,131,153,174,199,218,239,252,271
Manabí,1562079,Pedernales,63441,0.07010000000000000,-80.05360000000000,15,26,39,59,92,119,150,173,183,200,219,232
Manabí,1562079,Pichincha,29599,-1.047300000000000,-79.81860000000000,4,6,10,15,26,34,47,60,65,75,83,91
Manabí,1562079,Portoviejo,321800,-1.056181000000000,-80.45521700000000,178,337,504,954,1308,1552,1808,2041,2241,2443,2668,2854
Manabí,1562079,Puerto López,24688,-1.566667000000000,-80.81666700000000,4,6,10,53,89,99,113,122,131,140,152,167
Manabí,1562079,Rocafuerte,37312,-0.9200000000000000,-80.45999999999999,13,19,37,68,93,110,123,142,162,180,201,222
Manabí,1562079,San Vicente,24799,-0.5893000000000000,-80.40880000000000,7,15,19,28,36,48,56,65,70,74,76,80
Manabí,1562079,Santa Ana,48152,-1.206900000000000,-80.37090000000001,11,22,33,49,71,83,92,111,131,149,158,174
Manabí,1562079,Sucre,62443,-0.6000000000000000,-80.41666700000000,14,33,57,114,160,208,253,289,324,347,384,421
Manabí,1562079,Tosagua,42297,-0.7800000000000000,-80.26000000000001,16,27,41,58,83,107,121,135,150,167,188,206
Manabí,1562079,Veinticuatro de Mayo,28514,-1.278889000000000,-80.42000000000000,11,22,33,56,71,81,94,105,113,123,135,148
Morona Santiago,196535,Gualaquiza,19555,-3.380000000000000,-78.58000000000000,4,7,13,16,20,33,38,46,55,62,67,75
Morona Santiago,196535,Huamboya,12382,-1.785000000000000,-78.23194400000000,2,5,9,9,10,14,20,21,23,26,28,29
Morona Santiago,196535,Limón Indanza,10349,-2.966250000000000,-78.43052800000000,2,3,5,8,11,14,17,19,20,22,25,30
Morona Santiago,196535,Logroño,7643,-2.624800000000000,-78.18960000000000,0,1,2,2,5,9,12,13,17,19,22,25
Morona Santiago,196535,Morona,58281,-2.300000000000000,-78.11666700000001,20,37,56,74,93,119,147,182,205,221,235,257
