inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18
12,Los Ríos,921763,1210,Buena Fe,83654,-0.898572,-79.488916,4,5,19,24,35,39,47,55,66,71,81,86,98,106,119,129,135,138
12,Los Ríos,921763,1212,Mocache,43316,-1.18385,-79.50553,1,1,2,3,6,9,11,15,17,20,22,26,30,33,33,36,42,43
12,Los Ríos,921763,1203,Montalvo,28720,-1.7938,-79.2857,1,6,9,15,20,21,23,26,27,29,30,33,36,40,42,42,43,43
12,Los Ríos,921763,1209,Palenque,23638,-1.4328,-79.7495,2,2,6,7,8,9,11,12,16,19,20,22,23,25,27,30,32,33
12,Los Ríos,921763,1204,Puebloviejo,44725,-1.55,-79.533889,2,9,10,14,15,20,20,23,27,29,33,38,44,47,50,54,61,62
12,Los Ríos,921763,1205,Quevedo,213842,-1.033333,-79.45,26,54,81,120,160,206,246,290,336,396,438,477,530,584,634,669,708,729
12,Los Ríos,921763,1213,Quinsaloma,20428,-1.2062,-79.3145,0,1,1,4,5,6,7,7,8,11,12,14,16,17,21,21,23,23
12,Los Ríos,921763,1206,Urdaneta,32618,-1.570556,-79.471111,3,5,9,11,14,15,20,20,22,23,28,34,38,43,52,60,66,72
12,Los Ríos,921763,1211,Valencia,54637,-0.9525,-79.3531,1,7,9,10,13,14,15,17,23,27,29,31,35,38,43,48,49,49
12,Los Ríos,921763,1207,Ventanas,75146,-1.45,-79.47,7,8,14,18,21,27,33,40,45,57,60,68,78,91,98,111,125,129
12,Los Ríos,921763,1208,Vinces,82329,-1.558333,-79.75,8,15,21,26,31,35,38,49,57,62,72,80,92,108,120,136,147,153
13,Manabí,1562079,1302,Bolívar,45493,-0.841944,-80.161944,0,4,5,8,15,19,23,31,38,42,47,51,59,68,70,76,80,83
13,Manabí,1562079,1303,Chone,131002,-0.683333,-80.1,11,24,35,47,67,76,91,108,135,154,177,199,226,257,284,315,334,347
13,Manabí,1562079,1304,El Carmen,111344,-1.3147,-80.0169,9,21,28,38,50,54,66,70,87,97,106,116,127,137,144,156,167,172
13,Manabí,1562079,1305,Flavio Alfaro,23822,-0.4054,-79.9058,0,5,8,10,14,16,21,22,23,24,28,34,41,46,48,49,54,56
13,Manabí,1562079,1320,Jama,26116,-0.2014,-80.2659,0,3,4,6,7,7,8,8,8,8,11,13,13,14,15,16,17,17
13,Manabí,1562079,1321,Jaramijó,28439,-0.94873,-80.6363,0,0,1,2,3,5,5,7,9,9,10,11,13,13,14,15,16,16
13,Manabí,1562079,1306,Jipijapa,74645,-1.33333,-80.5833,6,16,17,25,43,60,72,85,95,109,131,148,161,177,190,202,208,211
13,Manabí,1562079,1307,Junín,18820,-0.92916,-80.20569,5,6,9,10,10,13,17,19,20,20,22,24,25,26,28,28,31,31
13,Manabí,1562079,1308,Manta,264281,-0.950022,-80.7162,44,77,137,185,233,289,338,400,448,508,590,662,728,806,869,934,990,1030
13,Manabí,1562079,1309,Montecristi,107785,-1.03333,-80.65,5,13,18,22,28,30,38,46,50,58,65,70,76,83,91,100,103,106
13,Manabí,1562079,1318,Olmedo,10194,-1.396111,-80.206111,1,2,2,5,5,7,7,7,10,11,12,13,16,17,18,18,18,18
13,Manabí,1562079,1310,Paján,37093,-1.57,-80.42,1,6,10,15,25,28,31,35,39,44,48,48,52,55,60,68,70,70
13,Manabí,1562079,1317,Pedernales,63441,0.0701,-80.0536,3,13,17,21,25,34,36,39,42,50,54,56,59,63,67,70,72,73
13,Manabí,1562079,1311,Pichincha,29599,-1.0473,-79.8186,2,3,5,8,10,12,16,18,18,22,26,28,28,30,32,36,37,37
13,Manabí,1562079,1301,Portoviejo,321800,-1.056181,-80.455217,45,95,153,191,243,295,364,434,493,559,661,740,825,903,990,1064,1136,1172
13,Manabí,1562079,1319,Puerto López,24688,-1.566667,-80.816667,1,1,3,3,5,8,11,12,12,13,17,20,22,26,27,27,28,29
13,Manabí,1562079,1312,Rocafuerte,37312,-0.92,-80.46,1,4,11,12,16,20,24,32,38,39,42,44,52,57,66,71,77,79
13,Manabí,1562079,1322,San Vicente,24799,-0.5893,-80.4088,1,1,1,6,8,11,13,18,18,19,21,23,24,27,28,29,29,29
13,Manabí,1562079,1313,Santa Ana,48152,-1.2069,-80.3709,4,9,15,19,27,30,33,38,39,44,48,52,58,61,67,70,70,71
13,Manabí,1562079,1314,Sucre,62443,-0.6,-80.416667,6,13,17,30,38,46,49,59,66,73,81,92,112,124,132,136,143,151
13,Manabí,1562079,1315,Tosagua,42297,-0.78,-80.26,3,4,7,8,13,15,19,21,25,30,34,40,46,51,59,61,66,69
13,Manabí,1562079,1316,Veinticuatro de Mayo,28514,-1.278889,-80.42,4,6,9,14,16,16,20,24,26,35,36,42,46,47,51,53,54,54
14,Morona Santiago,196535,1402,Gualaquiza,19555,-3.38,-78.58,2,5,5,8,10,16,17,18,19,21,23,23,26,31,34,37,40,40
14,Morona Santiago,196535,1407,Huamboya,12382,-1.785,-78.231944,1,1,1,2,3,3,4,5,6,6,6,6,8,8,8,8,8,8
14,Morona Santiago,196535,1403,Limón Indanza,10349,-2.96625,-78.430528,1,2,4,5,5,7,7,8,8,9,11,11,12,12,13,15,15,15
14,Morona Santiago,196535,1410,Logroño,7643,-2.6248,-78.1896,0,0,0,1,1,2,2,2,2,3,3,4,4,4,4,4,6,6
14,Morona Santiago,196535,1401,Morona,58281,-2.3,-78.116667,4,6,14,17,20,25,28,29,35,43,46,54,60,64,68,75,78,79
14,Morona Santiago,196535,1411,Pablo Sexto,2897,-1.803056,-77.921111,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2
14,Morona Santiago,196535,1404,Palora,7719,-1.7,-77.94,0,0,0,1,1,5,5,6,6,7,7,9,9,10,10,10,11,11
14,Morona Santiago,196535,1408,San Juan Bosco,4985,-3.0923,-78.5132,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3
14,Morona Santiago,196535,1405,Santiago,11087,-3.4298,-78.5656,0,0,1,1,2,3,4,5,6,6,7,9,9,10,10,10,12,12
14,Morona Santiago,196535,1406,Sucúa,23823,-2.46,-78.17,3,3,5,7,8,9,10,11,12,13,13,14,16,18,20,21,22,23
14,Morona Santiago,196535,1409,Taisha,26773,-2.33995,-77.45808,0,1,1,4,6,8,8,9,11,11,11,12,12,12,13,13,13,13
14,Morona Santiago,196535,1412,Tiwintza,11041,-2.91767,-77.8017,0,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4
15,Napo,133705,1503,Archidona,33068,-0.916667,-77.783333,4,6,6,8,8,9,11,12,12,15,19,21,21,25,27,29,33,35
15,Napo,133705,1509,Carlos Julio Arosemena Tola,4466,-1.166667,-77.85,1,1,2,2,3,3,4,4,4,4,4,5,5,6,6,6,6,6
15,Napo,133705,1504,El Chaco,10142,-0.340278,-77.808889,0,0,0,1,1,1,2,3,3,3,3,3,3,4,4,4,4,4
15,Napo,133705,1507,Quijos,6847,-0.463611,-77.892778,0,1,5,7,7,9,10,12,13,14,17,17,18,20,20,21,21,23
15,Napo,133705,1501,Tena,79182,-0.989,-77.8159,9,12,22,32,35,41,53,60,69,80,84,91,99,104,115,123,130,131
22,Orellana,161338,2202,Aguarico,3629,-0.921111,-75.399167,0,0,0,0,0,1,1,1,2,2,2,4,4,7,7,7,9,9
22,Orellana,161338,2203,La Joya de los Sachas,39352,-0.3,-76.85,3,5,9,11,12,15,16,19,21,25,25,27,30,31,34,36,38,38
22,Orellana,161338,2204,Loreto,24579,-0.6904,-77.3083,1,2,3,3,6,6,8,8,10,11,12,13,15,20,22,22,22,23
22,Orellana,161338,2201,Orellana,93778,-0.466667,-76.966667,7,15,21,27,36,41,51,55,60,64,80,86,94,98,105,111,124,129
16,Pastaza,114202,1604,Arajuno,8128,-1.23437,-77.6875,0,0,0,2,3,3,4,5,5,7,7,8,8,9,9,9,9,9
16,Pastaza,114202,1602,Mera,17547,-1.46,-78.09,0,1,2,2,2,2,3,3,3,4,6,7,8,9,11,11,13,15
16,Pastaza,114202,1601,Pastaza,84377,-1.066667,-78.001111,2,9,21,32,38,43,47,57,65,75,86,94,98,105,115,124,137,150
16,Pastaza,114202,1603,Santa Clara,4150,-1.2671,-77.8882,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
17,Pichincha,3228233,1702,Cayambe,107660,0.043889,-78.1561,8,15,26,31,38,49,59,66,71,73,79,87,99,110,122,130,143,147
17,Pichincha,3228233,1703,Mejía,108167,-0.5101,-78.5698,7,11,21,27,33,37,47,50,60,67,78,89,96,103,114,132,139,146
