provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Imbabura,476257,San Miguel de Urcuquí,17540,0.5200000000000000,-78.20000000000000,3,7,9,15,18,22,24,32,36,45,52,56
Loja,521154,Calvas,29565,-4.320000000000000,-79.56000000000000,10,25,42,51,71,92,103,132,150,162,173,174
Loja,521154,Catamayo,35961,-3.980000000000000,-79.34999999999999,5,11,18,31,43,56,78,97,114,128,138,138
Loja,521154,Celica,16160,-4.102500000000000,-79.95444400000000,2,5,5,8,15,21,26,34,38,39,41,41
Loja,521154,Chaguarpamba,6620,-3.850000000000000,-79.65000000000001,8,9,12,16,19,23,28,32,36,41,42,42
Loja,521154,Espíndola,14209,-4.583056000000000,-79.42694400000001,6,12,16,19,23,29,31,40,45,53,57,57
Loja,521154,Gonzanamá,10953,-4.231389000000000,-79.43527800000000,2,6,12,16,22,29,35,51,57,57,67,68
Loja,521154,Loja,274112,-3.983333000000000,-79.20000000000000,132,235,348,454,577,715,934,1156,1329,1443,1542,1567
Loja,521154,Macará,20269,-4.383333000000000,-79.95000000000000,9,10,13,20,33,42,55,60,74,83,87,87
Loja,521154,Olmedo,4220,-3.934000000000000,-79.64800000000000,1,2,3,3,5,7,9,14,20,24,26,26
Loja,521154,Paltas,23471,-4.050000000000000,-79.65000000000001,8,20,29,47,53,66,87,104,113,125,135,136
Loja,521154,Pindal,10540,-4.116100000000000,-80.10760000000001,5,6,10,11,17,21,23,29,31,32,36,36
Loja,521154,Puyango,15925,-3.870000000000000,-80.09000000000000,7,10,16,24,31,34,41,56,60,68,71,71
Loja,521154,Quilanga,4197,-4.298000000000000,-79.39860000000000,2,4,6,7,7,7,8,12,13,14,15,15
Loja,521154,Saraguro,33506,-3.625300000000000,-79.24110000000000,13,22,30,40,53,64,84,102,113,125,133,133
Loja,521154,Sozoranga,7121,-4.327778000000000,-79.78972200000000,1,1,3,5,6,9,11,15,16,16,16,16
