provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28
Manabí,1562079,Paján,37093,-1.570000000000000,-80.42000000000000,1,5,4,5,10,3,3,4,4,5,4,0,4,3,5,10,3,2,6,6,1,3,5,0,1,1,2,3
Manabí,1562079,Pedernales,63441,0.07010000000000000,-80.05360000000000,3,10,4,4,4,9,2,3,4,9,4,2,4,4,4,4,2,5,2,4,5,6,3,3,4,1,2,0
Manabí,1562079,Pichincha,29599,-1.047300000000000,-79.81860000000000,2,1,2,3,2,2,4,2,0,4,4,2,0,2,2,4,1,2,0,4,1,1,2,2,1,0,1,1
Manabí,1562079,Portoviejo,321800,-1.056181000000000,-80.45521700000000,45,50,58,39,52,52,70,71,59,66,104,82,86,82,89,80,77,61,52,61,50,48,41,38,40,42,41,16
Manabí,1562079,Puerto López,24688,-1.566667000000000,-80.81666700000000,1,0,2,0,2,3,3,1,0,2,4,3,2,5,1,1,1,1,1,4,1,2,1,4,5,1,2,1
Manabí,1562079,Rocafuerte,37312,-0.9200000000000000,-80.45999999999999,1,3,7,1,4,4,4,8,6,1,3,2,8,5,9,5,6,3,5,3,3,5,3,2,2,2,0,4
Manabí,1562079,San Vicente,24799,-0.5893000000000000,-80.40880000000000,1,0,0,5,2,3,2,5,0,1,2,2,1,3,2,1,0,0,1,0,0,2,1,2,0,4,1,2
Manabí,1562079,Santa Ana,48152,-1.206900000000000,-80.37090000000001,4,5,6,4,8,3,3,5,1,5,4,4,6,3,6,3,2,5,4,5,9,2,5,3,3,4,6,0
Manabí,1562079,Sucre,62443,-0.6000000000000000,-80.41666700000000,6,8,4,13,8,8,3,11,7,7,8,12,20,12,11,6,9,16,7,4,8,11,10,9,4,7,9,1
Manabí,1562079,Tosagua,42297,-0.7800000000000000,-80.26000000000001,3,1,3,1,5,2,4,2,4,5,4,6,6,5,8,2,6,7,2,1,1,3,1,5,3,3,4,0
Manabí,1562079,Veinticuatro de Mayo,28514,-1.278889000000000,-80.42000000000000,4,2,3,5,2,0,4,4,2,9,1,6,4,1,4,3,1,2,2,2,2,1,7,2,2,4,1,1
Morona Santiago,196535,Gualaquiza,19555,-3.380000000000000,-78.58000000000000,2,3,0,3,2,6,1,1,1,2,2,0,3,5,3,3,3,1,1,1,4,2,2,3,1,1,2,0
Morona Santiago,196535,Huamboya,12382,-1.785000000000000,-78.23194400000000,1,0,0,1,1,0,1,1,1,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,1,3,0,0
Morona Santiago,196535,Limón Indanza,10349,-2.966250000000000,-78.43052800000000,1,1,2,1,0,2,0,1,0,1,2,0,1,0,1,2,0,1,0,2,1,0,0,0,0,0,0,0
Morona Santiago,196535,Logroño,7643,-2.624800000000000,-78.18960000000000,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0
Morona Santiago,196535,Morona,58281,-2.300000000000000,-78.11666700000001,4,2,8,3,3,5,3,1,6,8,3,8,6,4,6,7,3,3,5,5,3,6,3,10,4,3,2,2
Morona Santiago,196535,Pablo Sexto,2897,-1.803056000000000,-77.92111100000000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
Morona Santiago,196535,Palora,7719,-1.700000000000000,-77.94000000000000,0,0,0,1,0,4,0,1,0,1,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
Morona Santiago,196535,San Juan Bosco,4985,-3.092300000000000,-78.51320000000000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,0,1,0,0,1,1,0
Morona Santiago,196535,Santiago,11087,-3.429800000000000,-78.56560000000000,0,0,1,0,1,1,1,1,1,0,1,2,0,1,1,0,2,0,1,0,0,0,0,0,1,1,0,0
Morona Santiago,196535,Sucúa,23823,-2.460000000000000,-78.17000000000000,3,0,2,2,1,1,1,1,1,1,0,1,2,2,2,1,1,1,2,1,2,0,0,3,0,0,2,0
Morona Santiago,196535,Taisha,26773,-2.339950000000000,-77.45808000000000,0,1,0,3,2,2,0,1,2,0,0,1,0,0,1,0,1,2,1,1,0,1,0,0,1,2,1,0
Morona Santiago,196535,Tiwintza,11041,-2.917670000000000,-77.80170000000000,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,1,0,0,1,1,1,0,0
Napo,133705,Archidona,33068,-0.9166670000000000,-77.78333300000000,4,2,0,2,0,1,2,1,0,3,4,2,1,4,2,2,4,2,2,1,4,0,3,1,0,2,6,0
Napo,133705,Carlos Julio Arosemena Tola,4466,-1.166667000000000,-77.84999999999999,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1
Napo,133705,El Chaco,10142,-0.3402780000000000,-77.80888899999999,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Napo,133705,Quijos,6847,-0.4636110000000000,-77.89277800000001,0,1,4,2,0,2,1,2,1,1,3,0,1,2,0,1,0,2,1,2,2,0,1,0,0,0,0,0
Napo,133705,Tena,79182,-0.9890000000000000,-77.81590000000000,9,3,10,11,3,6,12,7,9,11,4,7,8,5,12,9,7,5,8,13,6,15,10,9,7,8,8,5
Orellana,161338,Aguarico,3629,-0.9211110000000000,-75.39916700000001,0,0,0,0,0,2,0,0,1,0,0,3,0,4,0,0,3,0,1,0,0,0,0,0,1,0,0,0
Orellana,161338,La Joya de los Sachas,39352,-0.3000000000000000,-76.84999999999999,3,2,4,2,1,3,1,3,2,4,0,2,3,1,3,2,2,2,3,0,1,2,2,1,1,3,0,0
Orellana,161338,Loreto,24579,-0.6904000000000000,-77.30830000000000,1,1,1,0,3,0,2,0,2,1,1,1,2,5,2,0,1,1,3,3,1,1,1,2,2,2,0,1
Orellana,161338,Orellana,93778,-0.4666670000000000,-76.96666700000000,7,8,6,6,9,5,10,5,5,4,18,6,8,4,7,7,14,15,9,4,6,5,8,7,5,5,5,3
Pastaza,114202,Arajuno,8128,-1.234370000000000,-77.68750000000000,0,0,0,2,1,0,1,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Pastaza,114202,Mera,17547,-1.460000000000000,-78.09000000000000,0,1,1,0,0,0,1,0,0,1,2,1,1,1,2,0,2,3,1,1,3,2,0,1,0,0,0,0
Pastaza,114202,Pastaza,84377,-1.066667000000000,-78.00111099999999,2,7,12,11,6,5,4,10,8,10,12,8,4,7,10,9,14,18,10,10,8,5,12,4,7,8,4,5
Pastaza,114202,Santa Clara,4150,-1.267100000000000,-77.88820000000000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Pichincha,3228233,Cayambe,107660,0.04388900000000000,-78.15610000000000,8,7,11,5,10,11,10,7,5,2,6,8,12,11,12,8,14,7,5,8,11,6,3,7,6,12,6,7
Pichincha,3228233,Mejía,108167,-0.5101000000000000,-78.56980000000000,7,4,10,6,6,4,10,3,10,7,11,11,7,8,11,20,7,11,5,8,14,8,8,7,13,6,9,5
Pichincha,3228233,Pedro Moncayo,43281,0.04369700000000000,-78.34923999999999,3,3,8,3,2,1,2,5,3,1,1,1,1,2,4,4,2,3,0,1,6,4,2,0,2,3,2,2
Pichincha,3228233,Pedro Vicente Maldonado,17171,0.1666670000000000,-79,2,2,0,2,0,1,0,0,1,1,2,0,1,1,3,2,1,0,0,0,1,0,0,0,0,2,0,0
Pichincha,3228233,Puerto Quito,24911,0.1170000000000000,-79.26400000000000,1,2,3,1,1,0,1,3,2,1,1,2,3,2,3,3,7,2,1,2,2,1,0,0,2,2,1,1
Pichincha,3228233,Quito,2781641,-0.2186110000000000,-78.50972200000000,340,357,430,407,391,379,377,363,376,398,395,419,472,487,523,582,563,529,482,486,422,370,352,351,344,346,340,273
Pichincha,3228233,Rumiñahui,115433,-0.3345000000000000,-78.44750000000001,13,15,6,11,7,8,6,10,15,12,10,13,14,13,14,19,18,13,22,9,6,12,14,10,12,10,13,3
Pichincha,3228233,San Miguel de Los Bancos,29969,0.02300000000000000,-78.89200000000000,0,2,1,1,2,2,1,2,0,2,0,0,0,1,1,2,2,0,0,1,2,1,4,0,0,0,0,1
Santa Elena,401178,La Libertad,117767,-2.233333000000000,-80.90000000000001,5,8,9,7,9,5,7,9,6,7,7,12,8,12,10,17,8,12,8,8,11,6,5,5,8,6,4,5
Santa Elena,401178,Salinas,94590,-2.216667000000000,-80.95000000000000,9,10,4,11,7,5,15,6,11,6,11,14,15,5,17,7,8,10,5,6,13,5,11,8,2,6,6,8
Santa Elena,401178,Santa Elena,188821,-2.226700000000000,-80.85830000000000,24,24,32,23,22,19,11,15,27,18,33,27,25,45,44,45,28,19,24,15,17,21,18,18,17,20,16,9
Sto. Domingo Tsáchilas,511151,La Concordia,52571,0.002300000000000000,-79.38460000000001,8,2,2,5,2,4,1,2,5,4,4,5,3,6,2,4,2,4,6,5,2,1,3,4,3,2,2,1
Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,-0.2541670000000000,-79.17194400000000,48,62,50,46,61,54,67,76,67,82,92,74,104,113,79,109,85,71,72,72,54,50,55,52,47,43,43,20
Sucumbíos,230503,Cascales,15882,-0.06750000000000000,-77.21694400000000,0,0,0,0,0,1,0,2,1,0,0,1,1,1,0,0,2,1,0,3,0,1,1,1,0,1,0,0
Sucumbíos,230503,Cuyabeno,7154,-0.1288890000000000,-76.41388900000000,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,3,0
Sucumbíos,230503,Gonzalo Pizarro,10007,0.04700000000000000,-77.32280000000000,0,1,2,1,0,2,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1
Sucumbíos,230503,Lago Agrio,119594,0.08472200000000001,-76.88277800000000,15,20,16,8,9,9,14,18,12,17,27,25,17,22,23,21,14,22,16,20,11,4,10,15,12,6,5,7
Sucumbíos,230503,Putumayo,16106,0.1000000000000000,-75.84999999999999,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,2,0,0,0,0
Sucumbíos,230503,Shushufindi,57949,-0.1871000000000000,-76.64500000000000,2,2,1,4,5,1,5,4,3,1,3,4,3,3,5,6,4,4,3,2,2,0,2,0,2,0,2,1
Sucumbíos,230503,Sucumbíos,3811,0.4592000000000000,-77.52300000000000,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Tungurahua,590600,Ambato,387309,-1.241667000000000,-78.61972200000000,85,78,97,65,76,76,72,57,55,70,68,62,74,87,104,116,119,121,99,76,87,60,65,57,63,57,46,24
Tungurahua,590600,Baños,25043,-1.396389000000000,-78.42472200000000,0,4,3,1,2,0,1,3,0,2,5,0,2,3,3,3,2,1,4,0,1,4,2,4,0,1,1,0
Tungurahua,590600,Cevallos,9936,-1.350000000000000,-78.61666700000001,2,2,0,0,1,1,0,2,0,0,2,0,2,2,3,0,3,6,0,1,0,4,2,0,0,0,2,0
Tungurahua,590600,Mocha,7336,-1.416667000000000,-78.66666700000000,0,0,1,2,0,0,2,2,1,0,0,1,2,2,2,0,1,1,0,0,3,0,1,1,2,1,0,0
Tungurahua,590600,Patate,15825,-1.316667000000000,-78.51666700000000,1,1,2,4,1,1,1,1,2,1,4,1,0,0,2,0,3,0,0,2,0,0,0,2,0,1,3,2
Tungurahua,590600,Pelileo,66836,-1.327500000000000,-78.54083300000001,7,5,20,6,4,6,3,7,2,6,5,7,2,8,6,4,5,7,8,7,2,6,4,10,3,3,7,5
Tungurahua,590600,Píllaro,43371,-1.175833000000000,-78.55527800000000,4,2,8,0,5,3,3,5,2,2,0,9,3,4,6,10,7,8,3,3,4,1,12,4,4,4,4,2
Tungurahua,590600,Quero,20627,-1.379300000000000,-78.60700000000000,3,3,3,1,4,2,1,5,3,4,0,2,0,2,6,3,1,2,3,3,2,2,4,2,2,3,2,0
Tungurahua,590600,Tisaleo,14317,-1.350000000000000,-78.66666700000000,3,1,1,2,2,0,1,1,2,1,1,1,0,0,0,0,2,1,2,0,3,0,0,0,0,3,0,0
Zamora Chinchipe,120416,Centinela del Cóndor,8313,-3.894910000000000,-78.78140999999999,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0
Zamora Chinchipe,120416,Chinchipe,10679,-4.862800000000000,-79.13280000000000,0,3,1,0,0,0,1,1,1,2,3,0,5,4,4,3,1,0,0,3,0,0,0,1,0,0,1,0
Zamora Chinchipe,120416,El Pangui,10945,-3.624900000000000,-78.58710000000001,0,0,0,1,1,0,1,0,1,1,0,1,1,5,1,1,3,4,1,1,0,1,0,0,0,0,1,0
Zamora Chinchipe,120416,Nangaritza,8014,-4.048333000000000,-78.68222200000000,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0
Zamora Chinchipe,120416,Palanda,10144,-4.649800000000000,-79.13209999999999,0,0,0,0,0,0,1,1,0,0,0,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Zamora Chinchipe,120416,Paquisha,5992,-3.932750000000000,-78.67426000000000,0,4,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,1,0,1,2,0,0,0,0,0,0,0
Zamora Chinchipe,120416,Yacuambi,7121,-3.634440000000000,-78.92810000000000,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0
Zamora Chinchipe,120416,Yantzaza,26447,-3.850000000000000,-78.75000000000000,2,3,4,0,1,4,2,2,1,2,3,3,3,6,4,6,6,5,3,2,3,3,0,4,1,3,1,0
Zamora Chinchipe,120416,Zamora,32761,-4.120000000000000,-78.80000000000000,3,1,1,2,4,2,4,4,1,3,4,1,3,6,4,8,6,3,6,0,4,1,3,2,0,1,0,0
