inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo,Abril
14,Morona Santiago,196535,1409,Taisha,26773,-2.33995,-77.45808,4,8,11,11
14,Morona Santiago,196535,1412,Tiwintza,11041,-2.91767,-77.8017,3,3,3,3
15,Napo,133705,1503,Archidona,33068,-0.916667,-77.783333,10,14,23,25
15,Napo,133705,1509,Carlos Julio Arosemena Tola,4466,-1.166667,-77.85,2,4,5,6
15,Napo,133705,1504,El Chaco,10142,-0.340278,-77.808889,1,3,3,3
15,Napo,133705,1507,Quijos,6847,-0.463611,-77.892778,7,12,17,19
15,Napo,133705,1501,Tena,79182,-0.989,-77.8159,36,64,98,103
22,Orellana,161338,2202,Aguarico,3629,-0.921111,-75.399167,0,1,3,4
22,Orellana,161338,2203,La Joya de los Sachas,39352,-0.3,-76.85,11,19,27,30
22,Orellana,161338,2204,Loreto,24579,-0.6904,-77.3083,5,10,15,19
22,Orellana,161338,2201,Orellana,93778,-0.466667,-76.966667,30,57,89,95
16,Pastaza,114202,1604,Arajuno,8128,-1.23437,-77.6875,1,4,4,4
16,Pastaza,114202,1602,Mera,17547,-1.46,-78.09,3,4,8,10
16,Pastaza,114202,1601,Pastaza,84377,-1.066667,-78.001111,35,60,98,107
16,Pastaza,114202,1603,Santa Clara,4150,-1.2671,-77.8882,1,1,2,2
17,Pichincha,3228233,1702,Cayambe,107660,0.043889,-78.1561,32,67,93,111
17,Pichincha,3228233,1703,Mejía,108167,-0.5101,-78.5698,29,52,95,106
17,Pichincha,3228233,1704,Pedro Moncayo,43281,0.043697,-78.34924,20,30,36,39
17,Pichincha,3228233,1708,Pedro Vicente Maldonado,17171,0.166667,-79,6,7,12,13
17,Pichincha,3228233,1709,Puerto Quito,24911,0.117,-79.264,8,12,20,23
17,Pichincha,3228233,1701,Quito,2781641,-0.218611,-78.509722,1671,3173,4942,5696
17,Pichincha,3228233,1705,Rumiñahui,115433,-0.3345,-78.4475,51,82,141,156
17,Pichincha,3228233,1707,San Miguel de Los Bancos,29969,0.023,-78.892,6,13,15,16
24,Santa Elena,401178,2402,La Libertad,117767,-2.233333,-80.9,30,60,97,110
24,Santa Elena,401178,2403,Salinas,94590,-2.216667,-80.95,35,67,115,126
24,Santa Elena,401178,2401,Santa Elena,188821,-2.2267,-80.8583,107,173,279,328
23,Sto. Domingo Tsáchilas,511151,2302,La Concordia,52571,0.0023,-79.3846,17,26,45,50
23,Sto. Domingo Tsáchilas,511151,2301,Santo Domingo,458580,-0.254167,-79.171944,226,483,844,983
21,Sucumbíos,230503,2106,Cascales,15882,-0.0675,-77.216944,0,3,5,7
21,Sucumbíos,230503,2107,Cuyabeno,7154,-0.128889,-76.413889,3,4,4,4
21,Sucumbíos,230503,2102,Gonzalo Pizarro,10007,0.047,-77.3228,7,12,13,13
21,Sucumbíos,230503,2101,Lago Agrio,119594,0.084722,-76.882778,62,112,197,230
21,Sucumbíos,230503,2103,Putumayo,16106,0.1,-75.85,0,1,1,1
21,Sucumbíos,230503,2104,Shushufindi,57949,-0.1871,-76.645,10,24,34,37
21,Sucumbíos,230503,2105,Sucumbíos,3811,0.4592,-77.523,1,1,2,3
18,Tungurahua,590600,1801,Ambato,387309,-1.241667,-78.619722,344,625,908,1023
18,Tungurahua,590600,1802,Baños,25043,-1.396389,-78.424722,9,15,23,25
18,Tungurahua,590600,1803,Cevallos,9936,-1.35,-78.616667,4,8,11,14
18,Tungurahua,590600,1804,Mocha,7336,-1.416667,-78.666667,7,11,14,17
18,Tungurahua,590600,1805,Patate,15825,-1.316667,-78.516667,8,12,20,20
18,Tungurahua,590600,1807,Pelileo,66836,-1.3275,-78.540833,42,62,82,89
18,Tungurahua,590600,1808,Píllaro,43371,-1.175833,-78.555278,15,31,46,51
18,Tungurahua,590600,1806,Quero,20627,-1.3793,-78.607,11,22,31,32
18,Tungurahua,590600,1809,Tisaleo,14317,-1.35,-78.666667,7,11,16,16
19,Zamora Chinchipe,120416,1907,Centinela del Cóndor,8313,-3.89491,-78.78141,2,4,6,7
19,Zamora Chinchipe,120416,1902,Chinchipe,10679,-4.8628,-79.1328,5,7,16,22
19,Zamora Chinchipe,120416,1906,El Pangui,10945,-3.6249,-78.5871,1,3,7,12
19,Zamora Chinchipe,120416,1903,Nangaritza,8014,-4.048333,-78.682222,0,2,3,3
19,Zamora Chinchipe,120416,1908,Palanda,10144,-4.6498,-79.1321,1,3,3,3
19,Zamora Chinchipe,120416,1909,Paquisha,5992,-3.93275,-78.67426,4,4,5,6
19,Zamora Chinchipe,120416,1904,Yacuambi,7121,-3.63444,-78.9281,3,5,6,7
19,Zamora Chinchipe,120416,1905,Yantzaza,26447,-3.85,-78.75,9,17,27,34
19,Zamora Chinchipe,120416,1901,Zamora,32761,-4.12,-78.8,7,20,31,35
