provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9
Manabí,1562079,Paján,37093,-1.570000000000000,-80.42000000000000,1,6,10,14,24,25,27,28,29
Manabí,1562079,Pedernales,63441,0.07010000000000000,-80.05360000000000,3,12,14,18,19,26,27,28,28
Manabí,1562079,Pichincha,29599,-1.047300000000000,-79.81860000000000,2,3,4,7,9,10,11,12,12
Manabí,1562079,Portoviejo,321800,-1.056181000000000,-80.45521700000000,45,95,153,190,241,290,347,383,401
Manabí,1562079,Puerto López,24688,-1.566667000000000,-80.81666700000000,1,1,3,3,5,7,10,10,10
Manabí,1562079,Rocafuerte,37312,-0.9200000000000000,-80.45999999999999,1,4,11,12,16,20,24,26,29
Manabí,1562079,San Vicente,24799,-0.5893000000000000,-80.40880000000000,1,1,1,5,7,10,12,16,16
Manabí,1562079,Santa Ana,48152,-1.206900000000000,-80.37090000000001,4,9,15,19,27,30,33,35,36
Manabí,1562079,Sucre,62443,-0.6000000000000000,-80.41666700000000,6,13,17,30,37,44,45,47,49
Manabí,1562079,Tosagua,42297,-0.7800000000000000,-80.26000000000001,3,3,6,7,12,14,17,18,20
Manabí,1562079,Veinticuatro de Mayo,28514,-1.278889000000000,-80.42000000000000,4,6,9,14,15,15,18,19,19
Morona Santiago,196535,Gualaquiza,19555,-3.380000000000000,-78.58000000000000,2,5,5,8,10,16,17,17,17
Morona Santiago,196535,Huamboya,12382,-1.785000000000000,-78.23194400000000,1,1,1,2,3,3,3,4,4
Morona Santiago,196535,Limón Indanza,10349,-2.966250000000000,-78.43052800000000,1,2,3,4,4,6,6,7,7
Morona Santiago,196535,Logroño,7643,-2.624800000000000,-78.18960000000000,0,0,0,1,1,2,2,2,2
Morona Santiago,196535,Morona,58281,-2.300000000000000,-78.11666700000001,4,6,13,16,19,23,26,27,30
