inec_provincia_id,provincia,total,acumuladas,lat,lng,semana
88,Otro,1,2,0,0,7
16,Pastaza,3,30,-1.066667000000000,-78.00111099999999,7
17,Pichincha,242,1439,-0.2186110000000000,-78.50972200000000,7
24,Santa Elena,28,154,-2.226700000000000,-80.85830000000000,7
23,Sto. Domingo Tsáchilas,40,211,-0.2541670000000000,-79.17194400000000,7
21,Sucumbíos,6,60,0.08472200000000002,-76.88277800000000,7
18,Tungurahua,59,325,-1.241667000000000,-78.61972200000000,7
19,Zamora Chinchipe,2,29,-4.120000000000000,-78.80000000000000,7
1,Azuay,72,564,-2.897414000000000,-79.00448100000000,8
2,Bolívar,24,124,-1.605556000000000,-79.00305600000000,8
4,Carchi,8,98,0.8121800000000000,-77.71633000000000,8
3,Cañar,19,145,-2.733333000000000,-78.83333300000000,8
6,Chimborazo,53,295,-1.674347000000000,-78.64829400000001,8
5,Cotopaxi,40,261,-0.9333330000000000,-78.61666700000001,8
7,El Oro,59,388,-3.266667000000000,-79.96666700000000,8
8,Esmeraldas,39,224,1.050000000000000,-79.20000000000000,8
20,Galápagos,0,2,-0.7999999999999999,-89.40000000000001,8
9,Guayas,351,2717,-2.183333000000000,-79.88333299999999,8
10,Imbabura,36,267,0.3626780000000000,-78.13066700000000,8
11,Loja,36,349,-3.983333000000000,-79.20000000000000,8
12,Los Ríos,52,439,-1.800000000000000,-79.53333300000000,8
13,Manabí,113,808,-1.056181000000000,-80.45521700000000,8
14,Morona Santiago,5,53,-2.300000000000000,-78.11666700000001,8
15,Napo,3,39,-0.9890000000000000,-77.81590000000000,8
22,Orellana,3,49,-0.4666670000000000,-76.96666700000000,8
88,Otro,0,2,0,0,8
16,Pastaza,8,38,-1.066667000000000,-78.00111099999999,8
17,Pichincha,220,1659,-0.2186110000000000,-78.50972200000000,8
24,Santa Elena,18,172,-2.226700000000000,-80.85830000000000,8
23,Sto. Domingo Tsáchilas,36,247,-0.2541670000000000,-79.17194400000000,8
21,Sucumbíos,14,74,0.08472200000000002,-76.88277800000000,8
18,Tungurahua,52,377,-1.241667000000000,-78.61972200000000,8
19,Zamora Chinchipe,4,33,-4.120000000000000,-78.80000000000000,8
1,Azuay,65,629,-2.897414000000000,-79.00448100000000,9
2,Bolívar,14,138,-1.605556000000000,-79.00305600000000,9
4,Carchi,11,109,0.8121800000000000,-77.71633000000000,9
3,Cañar,17,162,-2.733333000000000,-78.83333300000000,9
6,Chimborazo,52,347,-1.674347000000000,-78.64829400000001,9
5,Cotopaxi,34,295,-0.9333330000000000,-78.61666700000001,9
7,El Oro,48,436,-3.266667000000000,-79.96666700000000,9
8,Esmeraldas,23,247,1.050000000000000,-79.20000000000000,9
20,Galápagos,0,2,-0.7999999999999999,-89.40000000000001,9
9,Guayas,335,3052,-2.183333000000000,-79.88333299999999,9
10,Imbabura,31,298,0.3626780000000000,-78.13066700000000,9
11,Loja,48,397,-3.983333000000000,-79.20000000000000,9
12,Los Ríos,76,515,-1.800000000000000,-79.53333300000000,9
13,Manabí,127,935,-1.056181000000000,-80.45521700000000,9
14,Morona Santiago,7,60,-2.300000000000000,-78.11666700000001,9
15,Napo,6,45,-0.9890000000000000,-77.81590000000000,9
22,Orellana,8,57,-0.4666670000000000,-76.96666700000000,9
88,Otro,0,2,0,0,9
16,Pastaza,5,43,-1.066667000000000,-78.00111099999999,9
17,Pichincha,201,1860,-0.2186110000000000,-78.50972200000000,9
24,Santa Elena,20,192,-2.226700000000000,-80.85830000000000,9
23,Sto. Domingo Tsáchilas,35,282,-0.2541670000000000,-79.17194400000000,9
21,Sucumbíos,7,81,0.08472200000000002,-76.88277800000000,9
18,Tungurahua,52,429,-1.241667000000000,-78.61972200000000,9
19,Zamora Chinchipe,8,41,-4.120000000000000,-78.80000000000000,9
1,Azuay,89,718,-2.897414000000000,-79.00448100000000,10
2,Bolívar,18,156,-1.605556000000000,-79.00305600000000,10
4,Carchi,18,127,0.8121800000000000,-77.71633000000000,10
