provincia,provincia_poblacion,canton,canton_poblacion,total,nuevas,lat,lng,mes
Pichincha,3228233,Mejía,108167,5099,826,-0.5101000000000000,-78.56980000000000,1
Pichincha,3228233,Pedro Moncayo,43281,822,293,0.04369700000000000,-78.34923999999999,1
Pichincha,3228233,Pedro Vicente Maldonado,17171,542,102,0.1666670000000000,-79,1
Pichincha,3228233,Puerto Quito,24911,734,185,0.1170000000000000,-79.26400000000000,1
Pichincha,3228233,Quito,2781641,234222,46802,-0.2186110000000000,-78.50972200000000,1
Pichincha,3228233,Rumiñahui,115433,8201,1530,-0.3345000000000000,-78.44750000000001,1
Pichincha,3228233,San Miguel de Los Bancos,29969,959,214,0.02300000000000000,-78.89200000000000,1
Santa Elena,401178,La Libertad,117767,2105,552,-2.233333000000000,-80.90000000000001,1
Santa Elena,401178,Salinas,94590,1469,351,-2.216667000000000,-80.95000000000000,1
Santa Elena,401178,Santa Elena,188821,2557,519,-2.226700000000000,-80.85830000000000,1
Sto. Domingo Tsáchilas,511151,La Concordia,52571,1883,299,0.002300000000000000,-79.38460000000001,1
Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,13417,1775,-0.2541670000000000,-79.17194400000000,1
Sucumbíos,230503,Cascales,15882,367,58,-0.06750000000000000,-77.21694400000000,1
Sucumbíos,230503,Cuyabeno,7154,431,72,-0.1288890000000000,-76.41388900000000,1
Sucumbíos,230503,Gonzalo Pizarro,10007,441,82,0.04700000000000000,-77.32280000000000,1
Sucumbíos,230503,Lago Agrio,119594,4890,1010,0.08472200000000002,-76.88277800000000,1
Sucumbíos,230503,Putumayo,16106,352,40,0.1000000000000000,-75.84999999999999,1
Sucumbíos,230503,Shushufindi,57949,1605,164,-0.1871000000000000,-76.64500000000000,1
Sucumbíos,230503,Sucumbíos,3811,183,15,0.4592000000000000,-77.52300000000000,1
Tungurahua,590600,Ambato,387309,16929,4423,-1.241667000000000,-78.61972200000000,1
Tungurahua,590600,Baños,25043,1594,176,-1.396389000000000,-78.42472200000000,1
Tungurahua,590600,Cevallos,9936,215,70,-1.350000000000000,-78.61666700000001,1
Tungurahua,590600,Mocha,7336,139,42,-1.416667000000000,-78.66666700000000,1
Tungurahua,590600,Patate,15825,595,221,-1.316667000000000,-78.51666700000000,1
Tungurahua,590600,Pelileo,66836,1813,428,-1.327500000000000,-78.54083300000001,1
Tungurahua,590600,Píllaro,43371,684,196,-1.175833000000000,-78.55527800000000,1
Tungurahua,590600,Quero,20627,297,73,-1.379300000000000,-78.60700000000000,1
Tungurahua,590600,Tisaleo,14317,229,84,-1.350000000000000,-78.66666700000000,1
Zamora Chinchipe,120416,Centinela del Cóndor,8313,313,77,-3.894910000000000,-78.78140999999999,1
Zamora Chinchipe,120416,Chinchipe,10679,506,76,-4.862800000000000,-79.13280000000000,1
Zamora Chinchipe,120416,El Pangui,10945,523,164,-3.624900000000000,-78.58710000000001,1
Zamora Chinchipe,120416,Nangaritza,8014,177,86,-4.048333000000000,-78.68222200000000,1
Zamora Chinchipe,120416,Palanda,10144,178,26,-4.649800000000000,-79.13209999999999,1
Zamora Chinchipe,120416,Paquisha,5992,176,61,-3.932750000000000,-78.67426000000000,1
Zamora Chinchipe,120416,Yacuambi,7121,138,31,-3.634440000000000,-78.92810000000000,1
Zamora Chinchipe,120416,Yantzaza,26447,1186,405,-3.850000000000000,-78.75000000000000,1
Zamora Chinchipe,120416,Zamora,32761,1344,337,-4.120000000000000,-78.80000000000000,1
Azuay,881394,Camilo Ponce Enríquez,36423,781,32,-3.050000000000000,-79.73333300000000,2
Azuay,881394,Chordeleg,15176,310,26,-2.933333000000000,-78.76666700000000,2
Azuay,881394,Cuenca,636996,31159,4990,-2.897414000000000,-79.00448100000000,2
Azuay,881394,El Pan,3091,217,15,-2.786111000000000,-78.66500000000001,2
Azuay,881394,Girón,13037,472,34,-3.159028000000000,-79.14756800000001,2
Azuay,881394,Guachapala,3859,354,11,-2.769000000000000,-78.70900000000000,2
Azuay,881394,Gualaceo,49104,1599,122,-2.900000000000000,-78.78333300000000,2
Azuay,881394,Nabón,17292,315,54,-3.336060000000000,-79.06368000000001,2
Azuay,881394,Oña,4128,102,19,-3.469640000000000,-79.15431000000000,2
Azuay,881394,Paute,29214,1708,105,-2.781800000000000,-78.76000000000001,2
Azuay,881394,Pucará,10584,200,19,-3.233780000000000,-79.46120000000001,2
Azuay,881394,San Fernando,4156,173,15,-3.144500000000000,-79.25200000000000,2
Azuay,881394,Santa Isabel,20935,1184,47,-3.274170000000000,-79.31560000000000,2
Azuay,881394,Sevilla de Oro,6890,575,31,-2.799833000000000,-78.65569400000000,2
Azuay,881394,Sígsig,30509,847,146,-3.089700000000000,-78.80320000000000,2
Bolívar,209933,Caluma,16429,1534,55,-1.633330000000000,-79.25000000000000,2
Bolívar,209933,Chillanes,16850,922,72,-1.933333000000000,-79.06666700000000,2
Bolívar,209933,Chimbo,17378,892,94,-1.700000000000000,-79.01666700000000,2
Bolívar,209933,Echeandía,14081,1260,40,-1.433330000000000,-79.26667000000000,2
Bolívar,209933,Guaranda,108763,4175,342,-1.605556000000000,-79.00305600000000,2
Bolívar,209933,Las Naves,7428,518,8,-1.283330000000000,-79.30000000000000,2
Bolívar,209933,San Miguel,29004,2076,337,-1.700000000000000,-79.03333300000000,2
Carchi,186869,Bolivar,15528,954,62,0.5070990000000000,-77.86245400000000,2
Carchi,186869,Espejo,13817,1004,74,0.6210000000000000,-77.94000000000000,2
Carchi,186869,Mira,11969,1056,89,0.5538999999999998,-78.04930000000000,2
Carchi,186869,Montúfar,34229,2256,177,0.6100000000000000,-77.84000000000000,2
Carchi,186869,San Pedro de Huaca,8931,688,46,0.6311110000000000,-77.72527800000000,2
Carchi,186869,Tulcán,102395,6894,561,0.8121800000000000,-77.71633000000000,2
Cañar,281396,Azogues,86276,7291,1318,-2.733333000000000,-78.83333300000000,2
Cañar,281396,Biblían,23741,1245,228,-2.710000000000000,-78.88000000000000,2
Cañar,281396,Cañar,68747,2426,386,-2.483700000000000,-78.97839999999999,2
Cañar,281396,Déleg,6782,207,35,-2.772600000000000,-78.91830000000000,2
Cañar,281396,El Tambo,12462,580,57,-2.508100000000000,-78.92489999999999,2
Cañar,281396,La Troncal,76872,1926,173,-2.400000000000000,-79.33000000000000,2
Cañar,281396,Suscal,6516,116,17,-2.436400000000000,-79.05220000000000,2
Chimborazo,524004,Alausí,45054,894,54,-2.200000000000000,-78.84999999999999,2
Chimborazo,524004,Chambo,13378,280,18,-1.733333000000000,-78.58333300000000,2
Chimborazo,524004,Chunchi,12795,338,11,-2.283333000000000,-78.91666700000000,2
Chimborazo,524004,Colta,44838,530,45,-1.700000000000000,-78.75000000000000,2
Chimborazo,524004,Cumandá,17973,522,19,-2.200000000000000,-79.13333299999999,2
Chimborazo,524004,Guamote,58291,311,37,-1.933333000000000,-78.71666700000000,2
Chimborazo,524004,Guano,48395,1182,123,-1.583333000000000,-78.63333299999999,2
Chimborazo,524004,Pallatanga,12277,251,14,-1.983333000000000,-78.95000000000000,2
Chimborazo,524004,Penipe,6955,235,40,-1.557300000000000,-78.53959999999999,2
