inec_provincia_id,provincia,poblacion,total,nuevas,lat,lng,created_at
16,Pastaza,114202,4510,52,-1.066667000000000,-78.00111099999999,29/01/2022
17,Pichincha,3228233,250859,3367,-0.2186110000000000,-78.50972200000000,29/01/2022
24,Santa Elena,401178,6124,39,-2.226700000000000,-80.85830000000000,29/01/2022
23,Sto. Domingo Tsáchilas,511151,15198,85,-0.2541670000000000,-79.17194400000000,29/01/2022
21,Sucumbíos,230503,8151,66,0.08472200000000002,-76.88277800000000,29/01/2022
18,Tungurahua,590600,22100,389,-1.241667000000000,-78.61972200000000,29/01/2022
19,Zamora Chinchipe,120416,4521,72,-4.120000000000000,-78.80000000000000,29/01/2022
01,Azuay,881394,34229,72,-2.897414000000000,-79.00448100000000,30/01/2022
02,Bolívar,209933,10415,109,-1.605556000000000,-79.00305600000000,30/01/2022
04,Carchi,186869,11821,145,0.8121800000000000,-77.71633000000000,30/01/2022
03,Cañar,281396,11504,118,-2.733333000000000,-78.83333300000000,30/01/2022
06,Chimborazo,524004,13847,123,-1.674347000000000,-78.64829400000001,30/01/2022
05,Cotopaxi,488716,16120,205,-0.9333330000000000,-78.61666700000001,30/01/2022
07,El Oro,715751,42954,301,-3.266667000000000,-79.96666700000000,30/01/2022
08,Esmeraldas,591083,13080,10,1.050000000000000,-79.20000000000000,30/01/2022
20,Galápagos,33042,2705,5,-0.7999999999999999,-89.40000000000001,30/01/2022
09,Guayas,4387434,122424,231,-2.183333000000000,-79.88333299999999,30/01/2022
10,Imbabura,476257,24091,273,0.3626780000000000,-78.13066700000000,30/01/2022
11,Loja,521154,26374,162,-3.983333000000000,-79.20000000000000,30/01/2022
12,Los Ríos,921763,16593,20,-1.800000000000000,-79.53333300000000,30/01/2022
13,Manabí,1562079,49659,178,-1.056181000000000,-80.45521700000000,30/01/2022
14,Morona Santiago,196535,9320,18,-2.300000000000000,-78.11666700000001,30/01/2022
15,Napo,133705,6174,30,-0.9890000000000000,-77.81590000000000,30/01/2022
22,Orellana,161338,5204,41,-0.4666670000000000,-76.96666700000000,30/01/2022
16,Pastaza,114202,4514,4,-1.066667000000000,-78.00111099999999,30/01/2022
17,Pichincha,3228233,252251,1392,-0.2186110000000000,-78.50972200000000,30/01/2022
24,Santa Elena,401178,6129,5,-2.226700000000000,-80.85830000000000,30/01/2022
