provincia,provincia_poblacion,canton,canton_poblacion,total,nuevas,lat,lng,semana
El Oro,715751,Arenillas,33473,0,0,-3.550000000000000,-80.06000000000000,12
El Oro,715751,Atahualpa,6436,0,0,-2.900000000000000,-78.93333300000000,12
El Oro,715751,Balsas,9233,0,0,-3.762600000000000,-79.82530000000000,12
El Oro,715751,Chilla,2379,0,0,-3.450000000000000,-79.58000000000000,12
El Oro,715751,El Guabo,63645,0,0,-3.238800000000000,-79.82920000000000,12
El Oro,715751,Huaquillas,60440,2,2,-3.481380000000000,-80.24320700000000,12
El Oro,715751,Las Lajas,4963,0,0,-3.785000000000000,-80.06166700000000,12
El Oro,715751,Machala,289141,1,1,-3.266667000000000,-79.96666700000000,12
El Oro,715751,Marcabelí,6259,0,0,-3.786000000000001,-79.89780000000000,12
El Oro,715751,Pasaje,87723,0,0,-3.326900000000000,-79.80490000000000,12
El Oro,715751,Piñas,30206,0,0,-3.666667000000000,-79.65000000000001,12
El Oro,715751,Portovelo,14028,0,0,-3.720000000000000,-79.62000000000000,12
El Oro,715751,Santa Rosa,82171,3,3,-3.452222000000000,-79.96166700000001,12
El Oro,715751,Zaruma,25654,0,0,-3.433333000000000,-79.59999999999999,12
Esmeraldas,591083,Atacames,55495,0,0,0.8666670000000000,-79.83333300000000,12
Esmeraldas,591083,Eloy Alfaro,45629,0,0,1.250000000000000,-79,12
Esmeraldas,591083,Esmeraldas,218727,2,2,1.050000000000000,-79.20000000000000,12
Esmeraldas,591083,Muisne,31106,0,0,0.6067000000000000,-80.01830000000000,12
Esmeraldas,591083,Quinindé,145879,0,0,0.3300000000000000,-79.48000000000000,12
Esmeraldas,591083,Rioverde,31475,0,0,1.060200000000000,-79.40440000000000,12
Esmeraldas,591083,San Lorenzo,62772,0,0,1.265800000000000,-78.84139999999999,12
Galápagos,33042,Isabela,3073,0,0,-0.4724000000000000,-90.68110000000000,12
Galápagos,33042,San Cristóbal,9667,0,0,-0.7999999999999999,-89.40000000000001,12
Galápagos,33042,Santa Cruz,20302,0,0,-0.6333330000000000,-90.36666700000001,12
Guayas,4387434,Alfredo Baquerizo Moreno,32110,1,1,-1.916667000000000,-79.51666700000000,12
Guayas,4387434,Balao,26348,0,0,-2.910000000000000,-79.81000000000000,12
Guayas,4387434,Balzar,60260,1,1,-1.360000000000000,-79.90000000000001,12
Guayas,4387434,Colimes,26169,0,0,-1.550000000000000,-80.01666700000000,12
Guayas,4387434,Coronel Marcelino Maridueña,13132,0,0,-2.200000000000000,-79.42000000000000,12
Guayas,4387434,Daule,173684,44,43,-1.866667000000000,-79.98333300000000,12
Guayas,4387434,Durán,315724,28,24,-2.166667000000000,-79.83333300000000,12
Guayas,4387434,El Triunfo,59636,0,0,-2.330000000000000,-79.40000000000001,12
Guayas,4387434,Empalme,86073,4,3,-1.046111000000000,-79.63361100000000,12
Guayas,4387434,General Antonio Elizalde,13156,0,0,-2.200000000000000,-79.17000000000000,12
Guayas,4387434,Guayaquil,2723665,408,399,-2.183333000000000,-79.88333299999999,12
Guayas,4387434,Isidro Ayora,14582,0,0,-1.883333000000000,-80.16666700000000,12
Guayas,4387434,Lomas de Sargentillo,24220,0,0,-1.883333000000000,-80.08333300000000,12
Guayas,4387434,Milagro,199835,21,20,-2.126944000000000,-79.59916699999999,12
Guayas,4387434,Naranjal,95052,1,1,-2.672800000000000,-79.61499999999999,12
Guayas,4387434,Naranjito,43862,0,0,-2.173000000000000,-79.46710000000000,12
Guayas,4387434,Nobol,26444,0,0,-1.916671000000000,-80.01153900000000,12
Guayas,4387434,Palestina,18451,0,0,-1.626300000000000,-79.97700000000000,12
Guayas,4387434,Pedro Carbo,51802,2,2,-1.833333000000000,-80.23333300000000,12
Guayas,4387434,Playas,59628,1,1,-2.623330000000000,-80.38750000000000,12
Guayas,4387434,Salitre,65765,3,3,-1.829444000000000,-79.81555600000000,12
Guayas,4387434,Samborondón,102404,89,86,-2.183333000000000,-79.88333299999999,12
Guayas,4387434,San Jacinto De Yaguachi,78204,1,1,-2.120000000000000,-79.69000000000000,12
Guayas,4387434,Santa Lucía,45004,3,3,-1.713889000000000,-79.98500000000000,12
Guayas,4387434,Simón Bolivar,32224,0,0,-2.156667000000000,-79.88750000000000,12
Imbabura,476257,Antonio Ante,54311,0,0,0.3200000000000000,-78.20999999999999,12
