provincia,poblacion,total,lat,lng,created_at
Imbabura,476257,3,0.3626780000000000,-78.13066700000000,30/04/2020
Loja,521154,1,-3.983333000000000,-79.20000000000000,30/04/2020
Los Ríos,921763,2,-1.800000000000000,-79.53333300000000,30/04/2020
Manabí,1562079,7,-1.056181000000000,-80.45521700000000,30/04/2020
Morona Santiago,196535,0,-2.300000000000000,-78.11666700000001,30/04/2020
Napo,133705,2,-0.9890000000000000,-77.81590000000000,30/04/2020
Orellana,161338,0,-0.4666670000000000,-76.96666700000000,30/04/2020
Pastaza,114202,0,-1.066667000000000,-78.00111099999999,30/04/2020
Pichincha,3228233,19,-0.2186110000000000,-78.50972200000000,30/04/2020
Santa Elena,401178,2,-2.226700000000000,-80.85830000000000,30/04/2020
Sto. Domingo Tsáchilas,511151,1,-0.2541670000000000,-79.17194400000000,30/04/2020
Sucumbíos,230503,0,0.08472200000000002,-76.88277800000000,30/04/2020
Tungurahua,590600,2,-1.241667000000000,-78.61972200000000,30/04/2020
Zamora Chinchipe,120416,0,-4.120000000000000,-78.80000000000000,30/04/2020
