inec_provincia_id,provincia,poblacion,total,acumuladas,lat,lng,created_at
17,Pichincha,3228233,41,14425,-0.2186110000000000,-78.50972200000000,22/08/2021
24,Santa Elena,401178,7,1294,-2.226700000000000,-80.85830000000000,22/08/2021
23,Sto. Domingo Tsáchilas,511151,10,2234,-0.2541670000000000,-79.17194400000000,22/08/2021
21,Sucumbíos,230503,5,676,0.08472200000000002,-76.88277800000000,22/08/2021
18,Tungurahua,590600,4,2993,-1.241667000000000,-78.61972200000000,22/08/2021
19,Zamora Chinchipe,120416,0,312,-4.120000000000000,-78.80000000000000,22/08/2021
01,Azuay,881394,11,3969,-2.897414000000000,-79.00448100000000,23/08/2021
02,Bolívar,209933,4,817,-1.605556000000000,-79.00305600000000,23/08/2021
04,Carchi,186869,5,799,0.8121800000000000,-77.71633000000000,23/08/2021
03,Cañar,281396,5,1072,-2.733333000000000,-78.83333300000000,23/08/2021
06,Chimborazo,524004,8,2377,-1.674347000000000,-78.64829400000001,23/08/2021
05,Cotopaxi,488716,4,2022,-0.9333330000000000,-78.61666700000001,23/08/2021
07,El Oro,715751,6,3584,-3.266667000000000,-79.96666700000000,23/08/2021
08,Esmeraldas,591083,3,1639,1.050000000000000,-79.20000000000000,23/08/2021
20,Galápagos,33042,0,57,-0.7999999999999999,-89.40000000000001,23/08/2021
09,Guayas,4387434,72,20671,-2.183333000000000,-79.88333299999999,23/08/2021
10,Imbabura,476257,5,2042,0.3626780000000000,-78.13066700000000,23/08/2021
11,Loja,521154,7,2484,-3.983333000000000,-79.20000000000000,23/08/2021
12,Los Ríos,921763,14,3721,-1.800000000000000,-79.53333300000000,23/08/2021
13,Manabí,1562079,21,6513,-1.056181000000000,-80.45521700000000,23/08/2021
14,Morona Santiago,196535,1,421,-2.300000000000000,-78.11666700000001,23/08/2021
15,Napo,133705,0,376,-0.9890000000000000,-77.81590000000000,23/08/2021
22,Orellana,161338,4,383,-0.4666670000000000,-76.96666700000000,23/08/2021
16,Pastaza,114202,4,320,-1.066667000000000,-78.00111099999999,23/08/2021
17,Pichincha,3228233,32,14457,-0.2186110000000000,-78.50972200000000,23/08/2021
24,Santa Elena,401178,2,1296,-2.226700000000000,-80.85830000000000,23/08/2021
23,Sto. Domingo Tsáchilas,511151,7,2241,-0.2541670000000000,-79.17194400000000,23/08/2021
21,Sucumbíos,230503,3,679,0.08472200000000002,-76.88277800000000,23/08/2021
18,Tungurahua,590600,9,3002,-1.241667000000000,-78.61972200000000,23/08/2021
19,Zamora Chinchipe,120416,1,313,-4.120000000000000,-78.80000000000000,23/08/2021
01,Azuay,881394,13,3982,-2.897414000000000,-79.00448100000000,24/08/2021
02,Bolívar,209933,3,820,-1.605556000000000,-79.00305600000000,24/08/2021
04,Carchi,186869,4,803,0.8121800000000000,-77.71633000000000,24/08/2021
03,Cañar,281396,3,1075,-2.733333000000000,-78.83333300000000,24/08/2021
06,Chimborazo,524004,8,2385,-1.674347000000000,-78.64829400000001,24/08/2021
05,Cotopaxi,488716,5,2027,-0.9333330000000000,-78.61666700000001,24/08/2021
07,El Oro,715751,17,3601,-3.266667000000000,-79.96666700000000,24/08/2021
08,Esmeraldas,591083,2,1641,1.050000000000000,-79.20000000000000,24/08/2021
20,Galápagos,33042,0,57,-0.7999999999999999,-89.40000000000001,24/08/2021
09,Guayas,4387434,55,20726,-2.183333000000000,-79.88333299999999,24/08/2021
10,Imbabura,476257,6,2048,0.3626780000000000,-78.13066700000000,24/08/2021
11,Loja,521154,7,2491,-3.983333000000000,-79.20000000000000,24/08/2021
12,Los Ríos,921763,15,3736,-1.800000000000000,-79.53333300000000,24/08/2021
13,Manabí,1562079,14,6527,-1.056181000000000,-80.45521700000000,24/08/2021
14,Morona Santiago,196535,4,425,-2.300000000000000,-78.11666700000001,24/08/2021
15,Napo,133705,2,378,-0.9890000000000000,-77.81590000000000,24/08/2021
22,Orellana,161338,0,383,-0.4666670000000000,-76.96666700000000,24/08/2021
16,Pastaza,114202,3,323,-1.066667000000000,-78.00111099999999,24/08/2021
17,Pichincha,3228233,37,14494,-0.2186110000000000,-78.50972200000000,24/08/2021
24,Santa Elena,401178,2,1298,-2.226700000000000,-80.85830000000000,24/08/2021
23,Sto. Domingo Tsáchilas,511151,12,2253,-0.2541670000000000,-79.17194400000000,24/08/2021
21,Sucumbíos,230503,0,679,0.08472200000000002,-76.88277800000000,24/08/2021
18,Tungurahua,590600,8,3010,-1.241667000000000,-78.61972200000000,24/08/2021
19,Zamora Chinchipe,120416,1,314,-4.120000000000000,-78.80000000000000,24/08/2021
01,Azuay,881394,14,3996,-2.897414000000000,-79.00448100000000,25/08/2021
02,Bolívar,209933,5,825,-1.605556000000000,-79.00305600000000,25/08/2021
04,Carchi,186869,1,804,0.8121800000000000,-77.71633000000000,25/08/2021
03,Cañar,281396,6,1081,-2.733333000000000,-78.83333300000000,25/08/2021
06,Chimborazo,524004,8,2393,-1.674347000000000,-78.64829400000001,25/08/2021
