provincia,provincia_poblacion,canton,canton_poblacion,total,acumuladas,lat,lng,mes
Carchi,186869,Mira,11969,6,12,0.5538999999999998,-78.04930000000000,2
Carchi,186869,Montúfar,34229,13,29,0.6100000000000000,-77.84000000000000,2
Carchi,186869,San Pedro de Huaca,8931,4,7,0.6311110000000000,-77.72527800000000,2
Carchi,186869,Tulcán,102395,42,146,0.8121800000000000,-77.71633000000000,2
Cañar,281396,Azogues,86276,67,138,-2.733333000000000,-78.83333300000000,2
Cañar,281396,Biblían,23741,7,16,-2.710000000000000,-78.88000000000000,2
Cañar,281396,Cañar,68747,20,40,-2.483700000000000,-78.97839999999999,2
Cañar,281396,Déleg,6782,3,7,-2.772600000000000,-78.91830000000000,2
Cañar,281396,El Tambo,12462,5,6,-2.508100000000000,-78.92489999999999,2
Cañar,281396,La Troncal,76872,28,62,-2.400000000000000,-79.33000000000000,2
Cañar,281396,Suscal,6516,2,2,-2.436400000000000,-79.05220000000000,2
Chimborazo,524004,Alausí,45054,18,38,-2.200000000000000,-78.84999999999999,2
Chimborazo,524004,Chambo,13378,9,16,-1.733333000000000,-78.58333300000000,2
Chimborazo,524004,Chunchi,12795,7,16,-2.283333000000000,-78.91666700000000,2
Chimborazo,524004,Colta,44838,20,40,-1.700000000000000,-78.75000000000000,2
Chimborazo,524004,Cumandá,17973,6,14,-2.200000000000000,-79.13333299999999,2
Chimborazo,524004,Guamote,58291,23,49,-1.933333000000000,-78.71666700000000,2
Chimborazo,524004,Guano,48395,13,34,-1.583333000000000,-78.63333299999999,2
Chimborazo,524004,Pallatanga,12277,5,6,-1.983333000000000,-78.95000000000000,2
Chimborazo,524004,Penipe,6955,3,6,-1.557300000000000,-78.53959999999999,2
Chimborazo,524004,Riobamba,264048,162,364,-1.674347000000000,-78.64829400000001,2
Cotopaxi,488716,La Maná,56905,21,36,-0.9300000000000000,-79.22000000000000,2
Cotopaxi,488716,Latacunga,205624,178,352,-0.9333330000000000,-78.61666700000001,2
Cotopaxi,488716,Pangua,24612,14,26,-1.133333000000000,-79.06666700000000,2
Cotopaxi,488716,Pujilí,79772,21,49,-0.9500000000000000,-78.69000000000000,2
Cotopaxi,488716,Salcedo,67100,25,56,-1.050000000000000,-78.58333300000000,2
Cotopaxi,488716,Saquisilí,31426,10,22,-0.8300000000000000,-78.67000000000000,2
Cotopaxi,488716,Sigchos,23277,4,11,-0.7000000000000000,-78.88333299999999,2
El Oro,715751,Arenillas,33473,18,28,-3.550000000000000,-80.06000000000000,2
El Oro,715751,Atahualpa,6436,3,6,-2.900000000000000,-78.93333300000000,2
El Oro,715751,Balsas,9233,2,2,-3.762600000000000,-79.82530000000000,2
El Oro,715751,Chilla,2379,2,2,-3.450000000000000,-79.58000000000000,2
El Oro,715751,El Guabo,63645,24,54,-3.238800000000000,-79.82920000000000,2
El Oro,715751,Huaquillas,60440,28,51,-3.481380000000000,-80.24320700000000,2
El Oro,715751,Las Lajas,4963,2,4,-3.785000000000000,-80.06166700000000,2
El Oro,715751,Machala,289141,270,528,-3.266667000000000,-79.96666700000000,2
El Oro,715751,Marcabelí,6259,3,5,-3.786000000000001,-79.89780000000000,2
El Oro,715751,Pasaje,87723,44,89,-3.326900000000000,-79.80490000000000,2
El Oro,715751,Piñas,30206,30,52,-3.666667000000000,-79.65000000000001,2
El Oro,715751,Portovelo,14028,2,5,-3.720000000000000,-79.62000000000000,2
El Oro,715751,Santa Rosa,82171,26,55,-3.452222000000000,-79.96166700000001,2
