provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Los Ríos,921763,Quevedo,213842,-1.033333000000000,-79.45000000000000,22,149,345,410,527,652,842,899,1033,1064
Los Ríos,921763,Quinsaloma,20428,-1.206200000000000,-79.31450000000000,1,3,11,52,109,132,145,149,150,150
Los Ríos,921763,Urdaneta,32618,-1.570556000000000,-79.47111099999999,2,23,50,76,92,105,125,129,131,138
Los Ríos,921763,Valencia,54637,-0.9525000000000000,-79.35310000000000,0,9,22,31,47,64,72,77,84,88
Los Ríos,921763,Ventanas,75146,-1.450000000000000,-79.47000000000000,6,57,158,343,443,472,496,519,535,536
Los Ríos,921763,Vinces,82329,-1.558333000000000,-79.75000000000000,2,66,107,143,165,180,199,235,244,245
Manabí,1562079,Bolívar,45493,-0.8419440000000000,-80.16194400000001,1,10,38,78,146,217,246,264,302,306
Manabí,1562079,Chone,131002,-0.6833330000000000,-80.09999999999999,0,38,139,382,738,1008,1127,1231,1385,1428
Manabí,1562079,El Carmen,111344,-1.314700000000000,-80.01690000000001,1,40,122,283,361,399,433,512,547,550
Manabí,1562079,Flavio Alfaro,23822,-0.4054000000000000,-79.90580000000000,0,3,18,40,73,141,205,217,227,227
Manabí,1562079,Jama,26116,-0.2014000000000000,-80.26590000000000,0,0,3,12,62,71,72,86,93,93
Manabí,1562079,Jaramijó,28439,-0.9487300000000000,-80.63630000000001,1,13,31,53,67,72,77,84,95,97
Manabí,1562079,Jipijapa,74645,-1.333330000000000,-80.58329999999999,1,58,182,276,325,383,431,503,576,631
Manabí,1562079,Junín,18820,-0.9291600000000000,-80.20569000000000,0,5,21,32,68,110,168,209,241,249
Manabí,1562079,Manta,264281,-0.9500220000000000,-80.71620000000000,27,136,416,621,876,986,1143,1456,1822,1908
Manabí,1562079,Montecristi,107785,-1.033330000000000,-80.65000000000001,2,36,179,219,270,293,315,355,417,428
Manabí,1562079,Olmedo,10194,-1.396111000000000,-80.20611100000001,0,3,9,23,34,47,82,83,125,125
Manabí,1562079,Paján,37093,-1.570000000000000,-80.42000000000000,0,18,57,104,138,162,185,192,204,206
Manabí,1562079,Pedernales,63441,0.07010000000000000,-80.05360000000000,0,5,129,203,276,328,334,340,354,357
Manabí,1562079,Pichincha,29599,-1.047300000000000,-79.81860000000000,0,3,17,70,99,121,127,147,152,158
Manabí,1562079,Portoviejo,321800,-1.056181000000000,-80.45521700000000,19,185,560,1268,1869,2624,3013,3527,4050,4353
Manabí,1562079,Puerto López,24688,-1.566667000000000,-80.81666700000000,0,2,31,60,76,170,174,183,233,307
Manabí,1562079,Rocafuerte,37312,-0.9200000000000000,-80.45999999999999,0,9,64,141,174,226,288,359,462,501
Manabí,1562079,San Vicente,24799,-0.5893000000000000,-80.40880000000000,0,2,8,35,56,83,114,122,133,135
Manabí,1562079,Santa Ana,48152,-1.206900000000000,-80.37090000000001,1,16,66,142,183,243,299,332,377,385
Manabí,1562079,Sucre,62443,-0.6000000000000000,-80.41666700000000,1,12,69,217,342,432,489,542,589,600
Manabí,1562079,Tosagua,42297,-0.7800000000000000,-80.26000000000001,0,9,46,135,184,214,254,262,280,285
Manabí,1562079,Veinticuatro de Mayo,28514,-1.278889000000000,-80.42000000000000,0,9,30,51,71,152,175,190,241,257
Morona Santiago,196535,Gualaquiza,19555,-3.380000000000000,-78.58000000000000,1,7,19,154,332,358,388,417,444,465
Morona Santiago,196535,Huamboya,12382,-1.785000000000000,-78.23194400000000,0,1,5,18,58,63,64,68,70,71
Morona Santiago,196535,Limón Indanza,10349,-2.966250000000000,-78.43052800000000,0,0,0,21,32,52,97,137,167,175
Morona Santiago,196535,Logroño,7643,-2.624800000000000,-78.18960000000000,0,0,0,60,96,97,98,105,110,110
Morona Santiago,196535,Morona,58281,-2.300000000000000,-78.11666700000001,2,13,29,242,700,881,980,1131,1255,1280
Morona Santiago,196535,Pablo Sexto,2897,-1.803056000000000,-77.92111100000000,0,2,4,14,45,45,46,55,55,56
Morona Santiago,196535,Palora,7719,-1.700000000000000,-77.94000000000000,4,22,24,95,173,198,205,207,237,240
Morona Santiago,196535,San Juan Bosco,4985,-3.092300000000000,-78.51320000000000,0,0,0,8,27,31,32,32,32,32
Morona Santiago,196535,Santiago,11087,-3.429800000000000,-78.56560000000000,0,0,5,56,110,171,189,194,206,208
Morona Santiago,196535,Sucúa,23823,-2.460000000000000,-78.17000000000000,2,10,7,55,304,368,407,423,453,458
Morona Santiago,196535,Taisha,26773,-2.339950000000000,-77.45808000000000,1,3,11,52,97,152,155,174,200,200
Morona Santiago,196535,Tiwintza,11041,-2.917670000000000,-77.80170000000000,0,3,1,5,37,51,53,53,53,53
Napo,133705,Archidona,33068,-0.9166670000000000,-77.78333300000000,0,3,81,118,144,172,192,205,218,219
Napo,133705,Carlos Julio Arosemena Tola,4466,-1.166667000000000,-77.84999999999999,0,1,3,6,12,17,18,19,20,21
Napo,133705,El Chaco,10142,-0.3402780000000000,-77.80888899999999,0,0,1,44,95,158,210,218,227,228
Napo,133705,Quijos,6847,-0.4636110000000000,-77.89277800000001,0,1,8,34,80,89,151,165,170,171
Napo,133705,Tena,79182,-0.9890000000000000,-77.81590000000000,1,18,108,384,609,717,785,831,902,935
Orellana,161338,Aguarico,3629,-0.9211110000000000,-75.39916700000001,0,0,5,82,184,285,324,343,344,344
Orellana,161338,La Joya de los Sachas,39352,-0.3000000000000000,-76.84999999999999,0,1,17,74,169,202,228,299,333,337
Orellana,161338,Loreto,24579,-0.6904000000000000,-77.30830000000000,0,1,1,22,60,68,68,69,70,70
Orellana,161338,Orellana,93778,-0.4666670000000000,-76.96666700000000,1,31,214,563,910,1063,1111,1241,1317,1345
Pastaza,114202,Arajuno,8128,-1.234370000000000,-77.68750000000000,0,1,21,64,98,106,111,115,115,115
Pastaza,114202,Mera,17547,-1.460000000000000,-78.09000000000000,1,4,56,138,353,517,569,577,584,586
Pastaza,114202,Pastaza,84377,-1.066667000000000,-78.00111099999999,4,34,122,444,862,1195,1349,1442,1515,1522
Pastaza,114202,Santa Clara,4150,-1.267100000000000,-77.88820000000000,0,7,29,40,63,90,116,121,124,124
Pichincha,3228233,Cayambe,107660,0.04388900000000000,-78.15610000000000,0,3,16,53,147,291,460,672,806,817
Pichincha,3228233,Mejía,108167,-0.5101000000000000,-78.56980000000000,1,37,106,234,488,654,923,1234,1396,1416
Pichincha,3228233,Pedro Moncayo,43281,0.04369700000000000,-78.34923999999999,1,2,11,13,35,73,116,165,197,199
Pichincha,3228233,Pedro Vicente Maldonado,17171,0.1666670000000000,-79,2,3,5,5,22,91,135,147,154,156
Pichincha,3228233,Puerto Quito,24911,0.1170000000000000,-79.26400000000000,0,5,16,44,78,119,149,165,168,168
Pichincha,3228233,Quito,2781641,-0.2186110000000000,-78.50972200000000,204,1320,3676,6571,13342,21589,36629,54291,64134,65356
Pichincha,3228233,Rumiñahui,115433,-0.3345000000000000,-78.44750000000001,11,49,105,291,643,967,1375,2158,2589,2661
Pichincha,3228233,San Miguel de Los Bancos,29969,0.02300000000000000,-78.89200000000000,0,1,5,9,58,114,143,163,185,185
Santa Elena,401178,La Libertad,117767,-2.233333000000000,-80.90000000000001,8,123,292,335,399,463,508,580,721,744
Santa Elena,401178,Salinas,94590,-2.216667000000000,-80.95000000000000,4,65,157,186,286,316,349,381,468,497
Santa Elena,401178,Santa Elena,188821,-2.226700000000000,-80.85830000000000,5,174,322,403,463,518,627,759,951,990
Sto. Domingo Tsáchilas,511151,La Concordia,52571,0.002300000000000000,-79.38460000000001,3,22,94,327,648,749,776,797,817,817
Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,-0.2541670000000000,-79.17194400000000,15,180,949,1670,3026,3756,4126,4477,4811,4872
Sucumbíos,230503,Cascales,15882,-0.06750000000000000,-77.21694400000000,0,0,2,19,66,104,113,118,123,123
Sucumbíos,230503,Cuyabeno,7154,-0.1288890000000000,-76.41388900000000,3,3,6,14,25,111,117,139,147,147
Sucumbíos,230503,Gonzalo Pizarro,10007,0.04700000000000000,-77.32280000000000,0,0,2,8,100,158,168,173,179,179
Sucumbíos,230503,Lago Agrio,119594,0.08472200000000001,-76.88277800000000,24,37,82,322,860,1362,1496,1615,1696,1708
Sucumbíos,230503,Putumayo,16106,0.1000000000000000,-75.84999999999999,0,0,1,5,11,83,99,104,117,117
Sucumbíos,230503,Shushufindi,57949,-0.1871000000000000,-76.64500000000000,0,2,17,45,80,414,530,568,593,596
Sucumbíos,230503,Sucumbíos,3811,0.4592000000000000,-77.52300000000000,0,0,0,0,2,25,33,37,38,39
Tungurahua,590600,Ambato,387309,-1.241667000000000,-78.61972200000000,8,143,380,736,1496,2570,3595,3947,4491,4660
Tungurahua,590600,Baños,25043,-1.396389000000000,-78.42472200000000,0,2,7,16,69,90,271,288,958,965
Tungurahua,590600,Cevallos,9936,-1.350000000000000,-78.61666700000001,0,3,5,10,20,22,25,28,31,31
Tungurahua,590600,Mocha,7336,-1.416667000000000,-78.66666700000000,0,0,0,1,5,5,22,22,26,27
Tungurahua,590600,Patate,15825,-1.316667000000000,-78.51666700000000,0,0,5,16,50,64,122,123,197,200
Tungurahua,590600,Pelileo,66836,-1.327500000000000,-78.54083300000001,1,15,55,182,335,441,493,505,715,737
Tungurahua,590600,Píllaro,43371,-1.175833000000000,-78.55527800000000,0,2,14,35,57,94,112,130,154,168
Tungurahua,590600,Quero,20627,-1.379300000000000,-78.60700000000000,0,2,6,11,26,33,35,38,59,62
