provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022
Guayas,4387434,Alfredo Baquerizo Moreno,32110,-1.916667000000000,-79.51666700000000,188,188,188
Guayas,4387434,Balao,26348,-2.910000000000000,-79.81000000000000,371,371,371
Guayas,4387434,Balzar,60260,-1.360000000000000,-79.90000000000001,786,787,789
Guayas,4387434,Colimes,26169,-1.550000000000000,-80.01666700000000,257,257,258
Guayas,4387434,Coronel Marcelino Maridueña,13132,-2.200000000000000,-79.42000000000000,142,142,142
Guayas,4387434,Daule,173684,-1.866667000000000,-79.98333300000000,2267,2273,2276
Guayas,4387434,Durán,315724,-2.166667000000000,-79.83333300000000,4089,4091,4093
Guayas,4387434,El Triunfo,59636,-2.330000000000000,-79.40000000000001,922,922,922
Guayas,4387434,Empalme,86073,-1.046111000000000,-79.63361100000000,1311,1311,1311
Guayas,4387434,General Antonio Elizalde,13156,-2.200000000000000,-79.17000000000000,556,556,558
Guayas,4387434,Guayaquil,2723665,-2.183333000000000,-79.88333299999999,55586,55678,55737
Guayas,4387434,Isidro Ayora,14582,-1.883333000000000,-80.16666700000000,137,137,137
Guayas,4387434,Lomas de Sargentillo,24220,-1.883333000000000,-80.08333300000000,163,163,163
Guayas,4387434,Milagro,199835,-2.126944000000000,-79.59916699999999,4345,4348,4370
Guayas,4387434,Naranjal,95052,-2.672800000000000,-79.61499999999999,1594,1594,1594
Guayas,4387434,Naranjito,43862,-2.173000000000000,-79.46710000000000,550,551,552
Guayas,4387434,Nobol,26444,-1.916671000000000,-80.01153900000000,123,123,123
Guayas,4387434,Palestina,18451,-1.626300000000000,-79.97700000000000,159,159,159
Guayas,4387434,Pedro Carbo,51802,-1.833333000000000,-80.23333300000000,979,979,979
Guayas,4387434,Playas,59628,-2.623330000000000,-80.38750000000000,593,593,593
Guayas,4387434,Salitre,65765,-1.829444000000000,-79.81555600000000,902,904,906
Guayas,4387434,Samborondón,102404,-2.183333000000000,-79.88333299999999,2264,2266,2267
Guayas,4387434,San Jacinto De Yaguachi,78204,-2.120000000000000,-79.69000000000000,640,640,640
Guayas,4387434,Santa Lucía,45004,-1.713889000000000,-79.98500000000000,174,174,174
Guayas,4387434,Simón Bolivar,32224,-2.156667000000000,-79.88750000000000,205,205,205
Imbabura,476257,Antonio Ante,54311,0.3200000000000000,-78.20999999999999,2118,2121,2123
Imbabura,476257,Cotacachi,44203,0.3000000000000000,-78.26666700000000,1871,1871,1872
Imbabura,476257,Ibarra,221149,0.3626780000000000,-78.13066700000000,9494,9509,9520
Imbabura,476257,Otavalo,125785,0.2333330000000000,-78.26666700000000,3686,3688,3692
Imbabura,476257,Pimampiro,13269,0.4000000000000000,-77.97000000000000,464,464,464
Imbabura,476257,San Miguel de Urcuquí,17540,0.5200000000000000,-78.20000000000000,608,609,609
Loja,521154,Calvas,29565,-4.320000000000000,-79.56000000000000,771,772,775
Loja,521154,Catamayo,35961,-3.980000000000000,-79.34999999999999,842,843,843
Loja,521154,Celica,16160,-4.102500000000000,-79.95444400000000,303,303,303
Loja,521154,Chaguarpamba,6620,-3.850000000000000,-79.65000000000001,89,89,89
Loja,521154,Espíndola,14209,-4.583056000000000,-79.42694400000001,368,368,368
Loja,521154,Gonzanamá,10953,-4.231389000000000,-79.43527800000000,234,234,234
Loja,521154,Loja,274112,-3.983333000000000,-79.20000000000000,12753,12768,12783
Loja,521154,Macará,20269,-4.383333000000000,-79.95000000000000,1145,1145,1146
Loja,521154,Olmedo,4220,-3.934000000000000,-79.64800000000000,69,69,69
