inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Enero,Febrero
13,Manabí,1562079,1311,Pichincha,29599,-1.047300000000000,-79.81860000000000,56,24
13,Manabí,1562079,1301,Portoviejo,321800,-1.056181000000000,-80.45521700000000,928,538
13,Manabí,1562079,1319,Puerto López,24688,-1.566667000000000,-80.81666700000000,24,12
13,Manabí,1562079,1312,Rocafuerte,37312,-0.9200000000000000,-80.45999999999999,169,77
13,Manabí,1562079,1322,San Vicente,24799,-0.5893000000000000,-80.40880000000000,13,9
13,Manabí,1562079,1313,Santa Ana,48152,-1.206900000000000,-80.37090000000001,64,52
13,Manabí,1562079,1314,Sucre,62443,-0.6000000000000000,-80.41666700000000,111,37
13,Manabí,1562079,1315,Tosagua,42297,-0.7800000000000000,-80.26000000000001,39,22
13,Manabí,1562079,1316,Veinticuatro de Mayo,28514,-1.278889000000000,-80.42000000000000,48,60
14,Morona Santiago,196535,1402,Gualaquiza,19555,-3.380000000000000,-78.58000000000000,77,17
14,Morona Santiago,196535,1407,Huamboya,12382,-1.785000000000000,-78.23194400000000,3,2
14,Morona Santiago,196535,1403,Limón Indanza,10349,-2.966250000000000,-78.43052800000000,38,3
14,Morona Santiago,196535,1410,Logroño,7643,-2.624800000000000,-78.18960000000000,15,3
14,Morona Santiago,196535,1401,Morona,58281,-2.300000000000000,-78.11666700000001,241,42
14,Morona Santiago,196535,1411,Pablo Sexto,2897,-1.803056000000000,-77.92111100000000,3,0
14,Morona Santiago,196535,1404,Palora,7719,-1.700000000000000,-77.94000000000000,71,21
14,Morona Santiago,196535,1408,San Juan Bosco,4985,-3.092300000000000,-78.51320000000000,21,5
14,Morona Santiago,196535,1405,Santiago,11087,-3.429800000000000,-78.56560000000000,29,1
14,Morona Santiago,196535,1406,Sucúa,23823,-2.460000000000000,-78.17000000000000,52,10
14,Morona Santiago,196535,1409,Taisha,26773,-2.339950000000000,-77.45808000000000,7,1
14,Morona Santiago,196535,1412,Tiwintza,11041,-2.917670000000000,-77.80170000000000,0,0
15,Napo,133705,1503,Archidona,33068,-0.9166670000000000,-77.78333300000000,36,11
15,Napo,133705,1509,Carlos Julio Arosemena Tola,4466,-1.166667000000000,-77.84999999999999,0,0
15,Napo,133705,1504,El Chaco,10142,-0.3402780000000000,-77.80888899999999,58,22
15,Napo,133705,1507,Quijos,6847,-0.4636110000000000,-77.89277800000001,36,15
15,Napo,133705,1501,Tena,79182,-0.9890000000000000,-77.81590000000000,155,63
22,Orellana,161338,2202,Aguarico,3629,-0.9211110000000000,-75.39916700000001,1,1
22,Orellana,161338,2203,La Joya de los Sachas,39352,-0.3000000000000000,-76.84999999999999,21,35
22,Orellana,161338,2204,Loreto,24579,-0.6904000000000000,-77.30830000000000,4,2
22,Orellana,161338,2201,Orellana,93778,-0.4666670000000000,-76.96666700000000,62,47
16,Pastaza,114202,1604,Arajuno,8128,-1.234370000000000,-77.68750000000000,5,1
16,Pastaza,114202,1602,Mera,17547,-1.460000000000000,-78.09000000000000,26,11
16,Pastaza,114202,1601,Pastaza,84377,-1.066667000000000,-78.00111099999999,78,33
16,Pastaza,114202,1603,Santa Clara,4150,-1.267100000000000,-77.88820000000000,0,1
17,Pichincha,3228233,1702,Cayambe,107660,0.04388900000000000,-78.15610000000000,110,79
17,Pichincha,3228233,1703,Mejía,108167,-0.5101000000000000,-78.56980000000000,252,117
17,Pichincha,3228233,1704,Pedro Moncayo,43281,0.04369700000000000,-78.34923999999999,33,16
17,Pichincha,3228233,1708,Pedro Vicente Maldonado,17171,0.1666670000000000,-79,38,13
17,Pichincha,3228233,1709,Puerto Quito,24911,0.1170000000000000,-79.26400000000000,18,10
17,Pichincha,3228233,1701,Quito,2781641,-0.2186110000000000,-78.50972200000000,11336,5707
17,Pichincha,3228233,1705,Rumiñahui,115433,-0.3345000000000000,-78.44750000000001,349,166
17,Pichincha,3228233,1707,San Miguel de Los Bancos,29969,0.02300000000000000,-78.89200000000000,55,50
24,Santa Elena,401178,2402,La Libertad,117767,-2.233333000000000,-80.90000000000001,152,23
24,Santa Elena,401178,2403,Salinas,94590,-2.216667000000000,-80.95000000000000,103,26
24,Santa Elena,401178,2401,Santa Elena,188821,-2.226700000000000,-80.85830000000000,159,45
23,Sto. Domingo Tsáchilas,511151,2302,La Concordia,52571,0.002300000000000000,-79.38460000000001,122,33
23,Sto. Domingo Tsáchilas,511151,2301,Santo Domingo,458580,-0.2541670000000000,-79.17194400000000,747,346
21,Sucumbíos,230503,2106,Cascales,15882,-0.06750000000000000,-77.21694400000000,2,1
21,Sucumbíos,230503,2107,Cuyabeno,7154,-0.1288890000000000,-76.41388900000000,3,3
21,Sucumbíos,230503,2102,Gonzalo Pizarro,10007,0.04700000000000000,-77.32280000000000,16,5
21,Sucumbíos,230503,2101,Lago Agrio,119594,0.08472200000000001,-76.88277800000000,87,37
21,Sucumbíos,230503,2103,Putumayo,16106,0.1000000000000000,-75.84999999999999,18,4
21,Sucumbíos,230503,2104,Shushufindi,57949,-0.1871000000000000,-76.64500000000000,73,10
21,Sucumbíos,230503,2105,Sucumbíos,3811,0.4592000000000000,-77.52300000000000,33,11
18,Tungurahua,590600,1801,Ambato,387309,-1.241667000000000,-78.61972200000000,1153,471
18,Tungurahua,590600,1802,Baños,25043,-1.396389000000000,-78.42472200000000,115,23
18,Tungurahua,590600,1803,Cevallos,9936,-1.350000000000000,-78.61666700000001,22,9
18,Tungurahua,590600,1804,Mocha,7336,-1.416667000000000,-78.66666700000000,10,7
18,Tungurahua,590600,1805,Patate,15825,-1.316667000000000,-78.51666700000000,34,11
18,Tungurahua,590600,1807,Pelileo,66836,-1.327500000000000,-78.54083300000001,191,73
18,Tungurahua,590600,1808,Píllaro,43371,-1.175833000000000,-78.55527800000000,67,22
18,Tungurahua,590600,1806,Quero,20627,-1.379300000000000,-78.60700000000000,32,16
18,Tungurahua,590600,1809,Tisaleo,14317,-1.350000000000000,-78.66666700000000,17,12
19,Zamora Chinchipe,120416,1907,Centinela del Cóndor,8313,-3.894910000000000,-78.78140999999999,3,1
19,Zamora Chinchipe,120416,1902,Chinchipe,10679,-4.862800000000000,-79.13280000000000,18,0
19,Zamora Chinchipe,120416,1906,El Pangui,10945,-3.624900000000000,-78.58710000000001,10,6
19,Zamora Chinchipe,120416,1903,Nangaritza,8014,-4.048333000000000,-78.68222200000000,1,1
19,Zamora Chinchipe,120416,1908,Palanda,10144,-4.649800000000000,-79.13209999999999,9,11
19,Zamora Chinchipe,120416,1909,Paquisha,5992,-3.932750000000000,-78.67426000000000,1,4
19,Zamora Chinchipe,120416,1904,Yacuambi,7121,-3.634440000000000,-78.92810000000000,0,1
19,Zamora Chinchipe,120416,1905,Yantzaza,26447,-3.850000000000000,-78.75000000000000,28,13
19,Zamora Chinchipe,120416,1901,Zamora,32761,-4.120000000000000,-78.80000000000000,55,21
