provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Enero,Febrero,Marzo
Orellana,161338,Aguarico,3629,-0.9211110000000000,-75.39916700000001,322,29,2
Orellana,161338,La Joya de los Sachas,39352,-0.3000000000000000,-76.84999999999999,153,114,13
Orellana,161338,Loreto,24579,-0.6904000000000000,-77.30830000000000,57,41,5
Orellana,161338,Orellana,93778,-0.4666670000000000,-76.96666700000000,470,345,16
Pastaza,114202,Arajuno,8128,-1.234370000000000,-77.68750000000000,45,10,1
Pastaza,114202,Mera,17547,-1.460000000000000,-78.09000000000000,68,76,3
Pastaza,114202,Pastaza,84377,-1.066667000000000,-78.00111099999999,469,572,35
Pastaza,114202,Santa Clara,4150,-1.267100000000000,-77.88820000000000,19,20,1
Pichincha,3228233,Cayambe,107660,0.04388900000000000,-78.15610000000000,835,993,198
Pichincha,3228233,Mejía,108167,-0.5101000000000000,-78.56980000000000,826,716,74
Pichincha,3228233,Pedro Moncayo,43281,0.04369700000000000,-78.34923999999999,293,245,30
Pichincha,3228233,Pedro Vicente Maldonado,17171,0.1666670000000000,-79,102,54,5
Pichincha,3228233,Puerto Quito,24911,0.1170000000000000,-79.26400000000000,185,81,7
Pichincha,3228233,Quito,2781641,-0.2186110000000000,-78.50972200000000,46802,43914,9875
Pichincha,3228233,Rumiñahui,115433,-0.3345000000000000,-78.44750000000001,1530,1586,436
Pichincha,3228233,San Miguel de Los Bancos,29969,0.02300000000000000,-78.89200000000000,214,57,1
Santa Elena,401178,La Libertad,117767,-2.233333000000000,-80.90000000000001,552,114,12
Santa Elena,401178,Salinas,94590,-2.216667000000000,-80.95000000000000,351,86,17
Santa Elena,401178,Santa Elena,188821,-2.226700000000000,-80.85830000000000,519,117,16
Sto. Domingo Tsáchilas,511151,La Concordia,52571,0.002300000000000000,-79.38460000000001,299,70,5
Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,-0.2541670000000000,-79.17194400000000,1775,1265,42
Sucumbíos,230503,Cascales,15882,-0.06750000000000000,-77.21694400000000,58,20,3
Sucumbíos,230503,Cuyabeno,7154,-0.1288890000000000,-76.41388900000000,72,30,2
Sucumbíos,230503,Gonzalo Pizarro,10007,0.04700000000000000,-77.32280000000000,82,25,2
Sucumbíos,230503,Lago Agrio,119594,0.08472200000000001,-76.88277800000000,1010,234,26
Sucumbíos,230503,Putumayo,16106,0.1000000000000000,-75.84999999999999,40,17,4
Sucumbíos,230503,Shushufindi,57949,-0.1871000000000000,-76.64500000000000,164,78,10
Sucumbíos,230503,Sucumbíos,3811,0.4592000000000000,-77.52300000000000,15,11,1
