inec_provincia_id,provincia,inec_canton_id,canton,total,acumuladas,lat,lng,mes
2,Bolívar,201,Guaranda,28,54,-1.605556000000000,-79.00305600000000,2
2,Bolívar,207,Las Naves,0,1,-1.283330000000000,-79.30000000000000,2
2,Bolívar,205,San Miguel,8,17,-1.700000000000000,-79.03333300000000,2
4,Carchi,402,Bolivar,2,6,0.5070990000000000,-77.86245400000000,2
4,Carchi,403,Espejo,3,8,0.6210000000000000,-77.94000000000000,2
4,Carchi,404,Mira,2,7,0.5538999999999998,-78.04930000000000,2
4,Carchi,405,Montúfar,10,20,0.6100000000000000,-77.84000000000000,2
4,Carchi,406,San Pedro de Huaca,0,0,0.6311110000000000,-77.72527800000000,2
4,Carchi,401,Tulcán,36,65,0.8121800000000000,-77.71633000000000,2
3,Cañar,301,Azogues,43,72,-2.733333000000000,-78.83333300000000,2
3,Cañar,302,Biblían,7,15,-2.710000000000000,-78.88000000000000,2
3,Cañar,303,Cañar,21,40,-2.483700000000000,-78.97839999999999,2
3,Cañar,306,Déleg,4,8,-2.772600000000000,-78.91830000000000,2
3,Cañar,305,El Tambo,3,10,-2.508100000000000,-78.92489999999999,2
3,Cañar,304,La Troncal,13,26,-2.400000000000000,-79.33000000000000,2
3,Cañar,307,Suscal,1,2,-2.436400000000000,-79.05220000000000,2
6,Chimborazo,602,Alausí,20,35,-2.200000000000000,-78.84999999999999,2
6,Chimborazo,604,Chambo,7,12,-1.733333000000000,-78.58333300000000,2
6,Chimborazo,605,Chunchi,2,4,-2.283333000000000,-78.91666700000000,2
6,Chimborazo,603,Colta,25,42,-1.700000000000000,-78.75000000000000,2
6,Chimborazo,610,Cumandá,3,11,-2.200000000000000,-79.13333299999999,2
6,Chimborazo,606,Guamote,22,40,-1.933333000000000,-78.71666700000000,2
6,Chimborazo,607,Guano,10,27,-1.583333000000000,-78.63333299999999,2
6,Chimborazo,608,Pallatanga,0,5,-1.983333000000000,-78.95000000000000,2
6,Chimborazo,609,Penipe,7,7,-1.557300000000000,-78.53959999999999,2
6,Chimborazo,601,Riobamba,108,230,-1.674347000000000,-78.64829400000001,2
5,Cotopaxi,502,La Maná,8,22,-0.9299999999999999,-79.22000000000000,2
5,Cotopaxi,501,Latacunga,58,138,-0.9333330000000000,-78.61666700000001,2
5,Cotopaxi,503,Pangua,4,8,-1.133333000000000,-79.06666700000000,2
5,Cotopaxi,504,Pujilí,23,54,-0.9500000000000000,-78.69000000000000,2
5,Cotopaxi,505,Salcedo,22,40,-1.050000000000000,-78.58333300000000,2
5,Cotopaxi,506,Saquisilí,9,17,-0.8300000000000000,-78.67000000000000,2
5,Cotopaxi,507,Sigchos,4,9,-0.7000000000000000,-78.88333299999999,2
7,El Oro,702,Arenillas,5,12,-3.550000000000000,-80.06000000000000,2
7,El Oro,703,Atahualpa,1,2,-2.900000000000000,-78.93333300000000,2
7,El Oro,704,Balsas,3,6,-3.762600000000000,-79.82530000000000,2
7,El Oro,705,Chilla,3,5,-3.450000000000000,-79.58000000000000,2
7,El Oro,706,El Guabo,12,34,-3.238800000000000,-79.82920000000000,2
7,El Oro,707,Huaquillas,14,25,-3.481380000000000,-80.24320700000000,2
7,El Oro,714,Las Lajas,1,2,-3.785000000000000,-80.06166700000000,2
7,El Oro,701,Machala,94,216,-3.266667000000000,-79.96666700000000,2
7,El Oro,708,Marcabelí,1,3,-3.786000000000000,-79.89780000000000,2
7,El Oro,709,Pasaje,29,50,-3.326900000000000,-79.80490000000000,2
7,El Oro,710,Piñas,11,18,-3.666667000000000,-79.65000000000001,2
7,El Oro,711,Portovelo,4,8,-3.720000000000000,-79.62000000000000,2
7,El Oro,712,Santa Rosa,14,39,-3.452222000000000,-79.96166700000001,2
7,El Oro,713,Zaruma,12,22,-3.433333000000000,-79.59999999999999,2
8,Esmeraldas,806,Atacames,8,16,0.8666670000000000,-79.83333300000000,2
8,Esmeraldas,802,Eloy Alfaro,8,13,1.250000000000000,-79,2
8,Esmeraldas,801,Esmeraldas,66,130,1.050000000000000,-79.20000000000000,2
8,Esmeraldas,803,Muisne,6,10,0.6067000000000000,-80.01830000000000,2
8,Esmeraldas,804,Quinindé,29,55,0.3300000000000000,-79.48000000000000,2
8,Esmeraldas,807,Rioverde,3,7,1.060200000000000,-79.40440000000000,2
8,Esmeraldas,805,San Lorenzo,12,19,1.265800000000000,-78.84139999999999,2
20,Galápagos,2002,Isabela,1,1,-0.4724000000000000,-90.68110000000000,2
20,Galápagos,2001,San Cristóbal,2,5,-0.7999999999999999,-89.40000000000001,2
20,Galápagos,2003,Santa Cruz,2,4,-0.6333330000000000,-90.36666700000001,2
9,Guayas,902,Alfredo Baquerizo Moreno,6,11,-1.916667000000000,-79.51666700000000,2
9,Guayas,903,Balao,7,9,-2.910000000000000,-79.81000000000000,2
9,Guayas,904,Balzar,23,38,-1.360000000000000,-79.90000000000001,2
9,Guayas,905,Colimes,5,11,-1.550000000000000,-80.01666700000000,2
9,Guayas,923,Coronel Marcelino Maridueña,4,5,-2.200000000000000,-79.42000000000000,2
9,Guayas,906,Daule,37,76,-1.866667000000000,-79.98333300000000,2
9,Guayas,907,Durán,24,50,-2.166667000000000,-79.83333300000000,2
9,Guayas,909,El Triunfo,14,23,-2.330000000000000,-79.40000000000001,2
9,Guayas,908,Empalme,21,48,-1.046111000000000,-79.63361100000000,2
9,Guayas,927,General Antonio Elizalde,6,8,-2.200000000000000,-79.17000000000000,2
9,Guayas,901,Guayaquil,1270,2608,-2.183333000000000,-79.88333299999999,2
9,Guayas,928,Isidro Ayora,5,9,-1.883333000000000,-80.16666700000000,2
9,Guayas,924,Lomas de Sargentillo,4,9,-1.883333000000000,-80.08333300000000,2
9,Guayas,910,Milagro,77,176,-2.126944000000000,-79.59916699999999,2
9,Guayas,911,Naranjal,13,29,-2.672800000000000,-79.61499999999999,2
9,Guayas,912,Naranjito,10,24,-2.173000000000000,-79.46710000000000,2
9,Guayas,925,Nobol,5,10,-1.916671000000000,-80.01153900000000,2
9,Guayas,913,Palestina,6,12,-1.626300000000000,-79.97700000000000,2
9,Guayas,914,Pedro Carbo,13,23,-1.833333000000000,-80.23333300000000,2
9,Guayas,921,Playas,10,30,-2.623330000000000,-80.38750000000000,2
9,Guayas,919,Salitre,17,33,-1.829444000000000,-79.81555600000000,2
9,Guayas,916,Samborondón,18,31,-2.183333000000000,-79.88333299999999,2
9,Guayas,920,San Jacinto De Yaguachi,18,48,-2.120000000000000,-79.69000000000000,2
9,Guayas,918,Santa Lucía,9,22,-1.713889000000000,-79.98500000000000,2
9,Guayas,922,Simón Bolivar,5,9,-2.156667000000000,-79.88750000000000,2
10,Imbabura,1002,Antonio Ante,21,39,0.3200000000000000,-78.20999999999999,2
10,Imbabura,1003,Cotacachi,17,30,0.3000000000000000,-78.26666700000000,2
10,Imbabura,1001,Ibarra,100,212,0.3626780000000000,-78.13066700000000,2
10,Imbabura,1004,Otavalo,39,75,0.2333330000000000,-78.26666700000000,2
10,Imbabura,1005,Pimampiro,3,11,0.4000000000000000,-77.97000000000000,2
10,Imbabura,1006,San Miguel de Urcuquí,6,13,0.5200000000000000,-78.20000000000000,2
11,Loja,1102,Calvas,11,22,-4.320000000000000,-79.56000000000000,2
11,Loja,1103,Catamayo,8,14,-3.980000000000000,-79.34999999999999,2
11,Loja,1104,Celica,6,10,-4.102500000000000,-79.95444400000000,2
11,Loja,1105,Chaguarpamba,1,3,-3.850000000000000,-79.65000000000001,2
11,Loja,1106,Espíndola,5,9,-4.583056000000000,-79.42694400000001,2
11,Loja,1107,Gonzanamá,4,11,-4.231389000000000,-79.43527800000000,2
11,Loja,1101,Loja,105,209,-3.983333000000000,-79.20000000000000,2
11,Loja,1108,Macará,6,12,-4.383333000000000,-79.95000000000000,2
11,Loja,1116,Olmedo,0,4,-3.934000000000000,-79.64800000000000,2
