provincia,canton,total,acumuladas,lat,lng,semana
Otro,Otro,0,0,0,0,1
Pastaza,Arajuno,0,0,-1.234370000000000,-77.68750000000000,1
Pastaza,Mera,0,0,-1.460000000000000,-78.09000000000000,1
Pastaza,Pastaza,5,5,-1.066667000000000,-78.00111099999999,1
Pastaza,Santa Clara,0,0,-1.267100000000000,-77.88820000000000,1
Pichincha,Cayambe,7,7,0.04388900000000000,-78.15610000000000,1
Pichincha,Mejía,6,6,-0.5101000000000000,-78.56980000000000,1
Pichincha,Pedro Moncayo,1,1,0.04369700000000000,-78.34923999999999,1
Pichincha,Pedro Vicente Maldonado,0,0,0.1666670000000000,-79,1
Pichincha,Puerto Quito,0,0,0.1170000000000000,-79.26400000000000,1
Pichincha,Quito,228,228,-0.2186110000000000,-78.50972200000000,1
Pichincha,Rumiñahui,3,3,-0.3345000000000000,-78.44750000000001,1
Pichincha,San Miguel de Los Bancos,0,0,0.02300000000000000,-78.89200000000000,1
Santa Elena,La Libertad,5,5,-2.233333000000000,-80.90000000000001,1
Santa Elena,Salinas,5,5,-2.216667000000000,-80.95000000000000,1
Santa Elena,Santa Elena,17,17,-2.226700000000000,-80.85830000000000,1
Sto. Domingo Tsáchilas,La Concordia,2,2,0.002300000000000000,-79.38460000000001,1
Sto. Domingo Tsáchilas,Santo Domingo,39,39,-0.2541670000000000,-79.17194400000000,1
Sucumbíos,Cascales,1,1,-0.06750000000000000,-77.21694400000000,1
Sucumbíos,Cuyabeno,0,0,-0.1288890000000000,-76.41388900000000,1
Sucumbíos,Gonzalo Pizarro,0,0,0.04700000000000000,-77.32280000000000,1
Sucumbíos,Lago Agrio,6,6,0.08472200000000002,-76.88277800000000,1
Sucumbíos,Putumayo,1,1,0.1000000000000000,-75.84999999999999,1
Sucumbíos,Shushufindi,1,1,-0.1871000000000000,-76.64500000000000,1
Sucumbíos,Sucumbíos,0,0,0.4592000000000000,-77.52300000000000,1
Tungurahua,Ambato,40,40,-1.241667000000000,-78.61972200000000,1
Tungurahua,Baños,2,2,-1.396389000000000,-78.42472200000000,1
Tungurahua,Cevallos,1,1,-1.350000000000000,-78.61666700000001,1
Tungurahua,Mocha,0,0,-1.416667000000000,-78.66666700000000,1
Tungurahua,Patate,1,1,-1.316667000000000,-78.51666700000000,1
Tungurahua,Pelileo,1,1,-1.327500000000000,-78.54083300000001,1
Tungurahua,Píllaro,3,3,-1.175833000000000,-78.55527800000000,1
Tungurahua,Quero,2,2,-1.379300000000000,-78.60700000000000,1
Tungurahua,Tisaleo,0,0,-1.350000000000000,-78.66666700000000,1
Zamora Chinchipe,Centinela del Cóndor,1,1,-3.894910000000000,-78.78140999999999,1
Zamora Chinchipe,Chinchipe,0,0,-4.862800000000000,-79.13280000000000,1
Zamora Chinchipe,El Pangui,0,0,-3.624900000000000,-78.58710000000001,1
Zamora Chinchipe,Nangaritza,0,0,-4.048333000000000,-78.68222200000000,1
Zamora Chinchipe,Palanda,0,0,-4.649800000000000,-79.13209999999999,1
Zamora Chinchipe,Paquisha,0,0,-3.932750000000000,-78.67426000000000,1
Zamora Chinchipe,Yacuambi,0,0,-3.634440000000000,-78.92810000000000,1
Zamora Chinchipe,Yantzaza,0,0,-3.850000000000000,-78.75000000000000,1
Zamora Chinchipe,Zamora,2,2,-4.120000000000000,-78.80000000000000,1
Azuay,Camilo Ponce Enríquez,0,1,-3.050000000000000,-79.73333300000000,2
Azuay,Chordeleg,0,0,-2.933333000000000,-78.76666700000000,2
Azuay,Cuenca,67,111,-2.897414000000000,-79.00448100000000,2
Azuay,El Pan,0,0,-2.786111000000000,-78.66500000000001,2
Azuay,Girón,3,4,-3.159028000000000,-79.14756800000001,2
Azuay,Guachapala,0,0,-2.769000000000000,-78.70900000000000,2
Azuay,Gualaceo,1,8,-2.900000000000000,-78.78333300000000,2
Azuay,Nabón,2,2,-3.336060000000000,-79.06368000000001,2
Azuay,Oña,1,2,-3.469640000000000,-79.15431000000000,2
Azuay,Paute,5,6,-2.781800000000000,-78.76000000000001,2
Azuay,Pucará,0,0,-3.233780000000000,-79.46120000000001,2
Azuay,San Fernando,0,0,-3.144500000000000,-79.25200000000000,2
Azuay,Santa Isabel,3,5,-3.274170000000000,-79.31560000000000,2
Azuay,Sevilla de Oro,0,1,-2.799833000000000,-78.65569400000000,2
Azuay,Sígsig,5,7,-3.089700000000000,-78.80320000000000,2
Bolívar,Caluma,1,2,-1.633330000000000,-79.25000000000000,2
Bolívar,Chillanes,0,4,-1.933333000000000,-79.06666700000000,2
Bolívar,Chimbo,0,0,-1.700000000000000,-79.01666700000000,2
Bolívar,Echeandía,0,0,-1.433330000000000,-79.26667000000000,2
Bolívar,Guaranda,5,10,-1.605556000000000,-79.00305600000000,2
Bolívar,Las Naves,1,1,-1.283330000000000,-79.30000000000000,2
Bolívar,San Miguel,2,5,-1.700000000000000,-79.03333300000000,2
Carchi,Bolivar,0,0,0.5070990000000000,-77.86245400000000,2
Carchi,Espejo,1,2,0.6210000000000000,-77.94000000000000,2
Carchi,Mira,1,1,0.5538999999999998,-78.04930000000000,2
Carchi,Montúfar,5,6,0.6100000000000000,-77.84000000000000,2
Carchi,San Pedro de Huaca,0,0,0.6311110000000000,-77.72527800000000,2
Carchi,Tulcán,8,13,0.8121800000000000,-77.71633000000000,2
Cañar,Azogues,6,11,-2.733333000000000,-78.83333300000000,2
Cañar,Biblían,1,3,-2.710000000000000,-78.88000000000000,2
Cañar,Cañar,3,11,-2.483700000000000,-78.97839999999999,2
Cañar,Déleg,1,3,-2.772600000000000,-78.91830000000000,2
Cañar,El Tambo,2,3,-2.508100000000000,-78.92489999999999,2
Cañar,La Troncal,2,3,-2.400000000000000,-79.33000000000000,2
Cañar,Suscal,0,0,-2.436400000000000,-79.05220000000000,2
Chimborazo,Alausí,3,10,-2.200000000000000,-78.84999999999999,2
Chimborazo,Chambo,2,3,-1.733333000000000,-78.58333300000000,2
Chimborazo,Chunchi,1,1,-2.283333000000000,-78.91666700000000,2
Chimborazo,Colta,4,8,-1.700000000000000,-78.75000000000000,2
Chimborazo,Cumandá,1,2,-2.200000000000000,-79.13333299999999,2
Chimborazo,Guamote,2,8,-1.933333000000000,-78.71666700000000,2
Chimborazo,Guano,4,6,-1.583333000000000,-78.63333299999999,2
Chimborazo,Pallatanga,2,2,-1.983333000000000,-78.95000000000000,2
Chimborazo,Penipe,0,0,-1.557300000000000,-78.53959999999999,2
Chimborazo,Riobamba,33,68,-1.674347000000000,-78.64829400000001,2
Cotopaxi,La Maná,2,6,-0.9300000000000000,-79.22000000000000,2
Cotopaxi,Latacunga,16,37,-0.9333330000000000,-78.61666700000001,2
Cotopaxi,Pangua,1,2,-1.133333000000000,-79.06666700000000,2
Cotopaxi,Pujilí,9,15,-0.9500000000000000,-78.69000000000000,2
Cotopaxi,Salcedo,5,9,-1.050000000000000,-78.58333300000000,2
Cotopaxi,Saquisilí,1,2,-0.8300000000000000,-78.67000000000000,2
Cotopaxi,Sigchos,2,2,-0.7000000000000000,-78.88333299999999,2
El Oro,Arenillas,1,2,-3.550000000000000,-80.06000000000000,2
El Oro,Atahualpa,0,1,-2.900000000000000,-78.93333300000000,2
El Oro,Balsas,0,2,-3.762600000000000,-79.82530000000000,2
El Oro,Chilla,1,1,-3.450000000000000,-79.58000000000000,2
El Oro,El Guabo,5,14,-3.238800000000000,-79.82920000000000,2
El Oro,Huaquillas,3,4,-3.481380000000000,-80.24320700000000,2
El Oro,Las Lajas,0,0,-3.785000000000000,-80.06166700000000,2
El Oro,Machala,19,51,-3.266667000000000,-79.96666700000000,2
