inec_provincia_id,provincia,inec_canton_id,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
11,Loja,1111,Saraguro,-3.625300000000000,-79.24110000000000,9,12,12,12,16,6,5,11,18,13,14,6
11,Loja,1112,Sozoranga,-4.327778000000000,-79.78972200000000,1,6,3,1,3,0,1,2,3,4,5,1
11,Loja,1113,Zapotillo,-4.386360000000000,-80.24360000000000,1,1,5,4,2,5,4,4,6,5,6,5
12,Los Ríos,1202,Baba,-1.784167000000000,-79.67666699999999,11,11,17,16,9,8,11,14,13,17,17,11
12,Los Ríos,1201,Babahoyo,-1.800000000000000,-79.53333300000000,96,73,106,91,83,90,74,86,94,91,85,77
12,Los Ríos,1210,Buena Fe,-0.8985720000000000,-79.48891600000000,16,23,19,25,12,15,16,23,20,9,23,26
12,Los Ríos,1212,Mocache,-1.183850000000000,-79.50552999999999,7,7,5,13,8,9,9,11,13,9,8,6
12,Los Ríos,1203,Montalvo,-1.793800000000000,-79.28570000000001,5,8,15,3,7,12,8,7,6,6,13,5
12,Los Ríos,1209,Palenque,-1.432800000000000,-79.74950000000000,4,10,2,8,11,3,4,7,3,6,5,1
12,Los Ríos,1204,Puebloviejo,-1.550000000000000,-79.53388900000000,6,17,11,17,10,7,10,11,2,5,8,7
12,Los Ríos,1205,Quevedo,-1.033333000000000,-79.45000000000000,93,84,83,89,84,83,77,63,62,86,79,60
12,Los Ríos,1213,Quinsaloma,-1.206200000000000,-79.31450000000000,7,2,8,3,5,9,4,3,4,3,4,6
12,Los Ríos,1206,Urdaneta,-1.570556000000000,-79.47111099999999,5,10,16,4,11,10,9,6,17,10,6,6
12,Los Ríos,1211,Valencia,-0.9525000000000000,-79.35310000000000,12,9,8,7,15,9,4,6,8,2,8,7
12,Los Ríos,1207,Ventanas,-1.450000000000000,-79.47000000000000,33,21,25,21,22,14,21,24,28,19,20,13
12,Los Ríos,1208,Vinces,-1.558333000000000,-79.75000000000000,22,25,23,34,29,30,32,38,37,32,26,24
13,Manabí,1302,Bolívar,-0.8419440000000000,-80.16194400000001,16,16,17,14,9,13,12,12,10,16,15,12
13,Manabí,1303,Chone,-0.6833330000000000,-80.09999999999999,59,47,47,50,39,33,39,51,50,61,63,49
13,Manabí,1304,El Carmen,-1.314700000000000,-80.01690000000001,37,24,30,33,29,25,38,35,33,31,27,21
13,Manabí,1305,Flavio Alfaro,-0.4054000000000000,-79.90580000000000,9,4,5,17,6,7,11,4,9,8,10,7
13,Manabí,1320,Jama,-0.2014000000000000,-80.26590000000000,5,2,3,3,5,8,4,2,6,4,4,4
13,Manabí,1321,Jaramijó,-0.9487300000000000,-80.63630000000001,3,8,6,1,1,1,0,6,3,8,6,9
13,Manabí,1306,Jipijapa,-1.333330000000000,-80.58329999999999,40,30,25,32,20,21,22,24,29,31,32,27
13,Manabí,1307,Junín,-0.9291600000000000,-80.20569000000000,3,9,4,3,5,5,4,2,3,3,4,2
13,Manabí,1308,Manta,-0.9500220000000000,-80.71620000000000,122,140,140,138,96,131,146,131,136,127,130,112
13,Manabí,1309,Montecristi,-1.033330000000000,-80.65000000000001,19,18,15,16,16,13,14,20,20,19,16,5
13,Manabí,1318,Olmedo,-1.396111000000000,-80.20611100000001,1,3,6,4,2,1,2,3,5,5,5,5
13,Manabí,1310,Paján,-1.570000000000000,-80.42000000000000,13,10,21,17,11,8,19,18,12,13,12,15
