provincia,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Manabí,Olmedo,-1.396111000000000,-80.20611100000001,1,4,10,14,16,17,19,22,27,32,37,42
Manabí,Paján,-1.570000000000000,-80.42000000000000,13,23,44,61,72,80,99,117,129,142,154,169
Manabí,Pedernales,0.07010000000000000,-80.05360000000000,23,35,43,48,58,65,74,82,91,100,109,125
Manabí,Pichincha,-1.047300000000000,-79.81860000000000,11,17,24,29,38,45,52,59,64,72,73,81
Manabí,Portoviejo,-1.056181000000000,-80.45521700000000,175,323,486,622,753,906,1034,1171,1323,1480,1648,1779
Manabí,Puerto López,-1.566667000000000,-80.81666700000000,2,6,17,29,32,38,48,53,60,65,69,75
Manabí,Rocafuerte,-0.9200000000000000,-80.45999999999999,12,27,39,48,63,75,81,93,107,123,131,141
Manabí,San Vicente,-0.5893000000000000,-80.40880000000000,9,18,25,30,32,38,45,52,55,63,67,73
Manabí,Santa Ana,-1.206900000000000,-80.37090000000001,12,23,39,49,59,71,84,100,111,123,140,152
Manabí,Sucre,-0.6000000000000000,-80.41666700000000,24,41,64,89,112,132,146,167,191,214,232,250
Manabí,Tosagua,-0.7800000000000000,-80.26000000000001,8,17,28,42,50,61,72,85,87,100,113,120
Manabí,Veinticuatro de Mayo,-1.278889000000000,-80.42000000000000,5,16,24,40,51,60,72,81,91,100,112,118
Morona Santiago,Gualaquiza,-3.380000000000000,-78.58000000000000,5,13,20,29,34,36,41,44,50,56,64,70
Morona Santiago,Huamboya,-1.785000000000000,-78.23194400000000,0,1,3,4,5,7,8,9,9,13,14,14
Morona Santiago,Limón Indanza,-2.966250000000000,-78.43052800000000,2,5,8,10,12,16,17,22,26,27,27,28
Morona Santiago,Logroño,-2.624800000000000,-78.18960000000000,1,2,4,5,8,10,10,11,12,13,18,19
Morona Santiago,Morona,-2.300000000000000,-78.11666700000001,21,31,56,73,88,102,106,122,141,156,173,197
Morona Santiago,Palora,-1.700000000000000,-77.94000000000000,0,0,1,2,3,5,9,12,14,16,17,19
Morona Santiago,San Juan Bosco,-3.092300000000000,-78.51320000000000,0,0,0,1,3,4,5,5,5,5,6,7
Morona Santiago,Santiago,-3.429800000000000,-78.56560000000000,5,7,13,15,17,18,21,24,24,24,25,28
Morona Santiago,Sucúa,-2.460000000000000,-78.17000000000000,4,7,15,22,27,33,37,42,48,57,62,72
Morona Santiago,Taisha,-2.339950000000000,-77.45808000000000,2,2,3,7,13,15,18,21,26,29,30,32
Morona Santiago,Tiwintza,-2.917670000000000,-77.80170000000000,1,3,4,8,9,11,11,12,12,15,15,16
Napo,Archidona,-0.9166670000000000,-77.78333300000000,6,11,17,37,43,52,65,73,78,82,85,90
Napo,Carlos Julio Arosemena Tola,-1.166667000000000,-77.84999999999999,1,4,4,4,4,7,7,7,8,9,9,11
Napo,El Chaco,-0.3402780000000000,-77.80888899999999,2,2,4,5,6,9,9,13,14,16,16,17
Napo,Quijos,-0.4636110000000000,-77.89277800000001,3,6,9,12,15,22,26,28,29,31,34,36
Napo,Tena,-0.9890000000000000,-77.81590000000000,21,36,61,82,103,130,154,170,188,207,230,245
Orellana,Aguarico,-0.9211110000000000,-75.39916700000001,0,3,5,7,7,7,11,12,12,13,13,13
Orellana,La Joya de los Sachas,-0.3000000000000000,-76.84999999999999,6,15,24,32,36,41,48,57,62,69,78,80
Orellana,Loreto,-0.6904000000000000,-77.30830000000000,4,12,18,21,27,41,49,57,58,63,66,68
Orellana,Orellana,-0.4666670000000000,-76.96666700000000,19,37,64,86,110,122,142,164,187,207,224,248
Pastaza,Arajuno,-1.234370000000000,-77.68750000000000,1,2,3,5,7,8,9,11,13,14,14,17
Pastaza,Mera,-1.460000000000000,-78.09000000000000,2,4,5,8,12,14,16,19,21,23,26,26
Pastaza,Pastaza,-1.066667000000000,-78.00111099999999,16,42,66,88,106,121,151,166,186,205,231,256
Pastaza,Santa Clara,-1.267100000000000,-77.88820000000000,1,1,2,3,3,3,3,3,4,4,4,4
Pichincha,Cayambe,0.04388900000000000,-78.15610000000000,19,48,71,86,116,140,159,185,205,228,257,281
Pichincha,Mejía,-0.5101000000000000,-78.56980000000000,18,38,55,80,101,127,158,179,202,224,249,273
Pichincha,Pedro Moncayo,0.04369700000000000,-78.34923999999999,6,12,21,32,38,46,54,61,68,74,80,88
Pichincha,Pedro Vicente Maldonado,0.1666670000000000,-79,1,3,7,12,14,14,16,20,22,26,28,33
Pichincha,Puerto Quito,0.1170000000000000,-79.26400000000000,11,15,19,23,28,32,35,39,45,50,55,61
Pichincha,Quito,-0.2186110000000000,-78.50972200000000,1147,2077,3110,4048,5034,6059,7096,8129,9152,10131,11114,12160
Pichincha,Rumiñahui,-0.3345000000000000,-78.44750000000001,28,43,57,75,100,126,155,177,197,220,251,284
Pichincha,San Miguel de Los Bancos,0.02300000000000000,-78.89200000000000,0,3,5,8,10,13,16,21,22,24,28,34
Santa Elena,La Libertad,-2.233333000000000,-80.90000000000001,16,41,63,84,104,130,159,190,218,236,263,278
Santa Elena,Salinas,-2.216667000000000,-80.95000000000000,32,62,93,124,146,170,197,223,263,278,293,316
Santa Elena,Santa Elena,-2.226700000000000,-80.85830000000000,71,124,185,243,303,350,414,478,540,583,648,702
Sto. Domingo Tsáchilas,La Concordia,0.002300000000000000,-79.38460000000001,10,17,33,45,57,70,81,93,103,113,119,130
Sto. Domingo Tsáchilas,Santo Domingo,-0.2541670000000000,-79.17194400000000,215,361,585,772,942,1083,1234,1396,1576,1732,1871,2030
Sucumbíos,Cascales,-0.06750000000000000,-77.21694400000000,2,8,10,12,13,15,22,23,28,30,38,40
Sucumbíos,Cuyabeno,-0.1288890000000000,-76.41388900000000,0,3,3,4,5,6,8,8,10,12,13,13
Sucumbíos,Gonzalo Pizarro,0.04700000000000000,-77.32280000000000,3,4,4,6,7,9,13,16,19,20,22,24
Sucumbíos,Lago Agrio,0.08472200000000001,-76.88277800000000,43,80,114,162,192,228,254,285,319,362,396,423
Sucumbíos,Putumayo,0.1000000000000000,-75.84999999999999,1,1,1,3,3,3,3,6,8,9,9,12
Sucumbíos,Shushufindi,-0.1871000000000000,-76.64500000000000,5,16,25,36,44,56,64,70,79,86,92,102
Sucumbíos,Sucumbíos,0.4592000000000000,-77.52300000000000,2,2,2,3,4,4,5,6,6,7,8,8
Tungurahua,Ambato,-1.241667000000000,-78.61972200000000,192,348,553,731,905,1065,1238,1413,1605,1784,1952,2101
Tungurahua,Baños,-1.396389000000000,-78.42472200000000,7,17,25,33,40,49,55,62,70,77,83,92
Tungurahua,Cevallos,-1.350000000000000,-78.61666700000001,0,3,5,7,9,14,14,16,18,19,23,23
Tungurahua,Mocha,-1.416667000000000,-78.66666700000000,0,3,6,9,11,12,20,25,26,30,31,32
Tungurahua,Patate,-1.316667000000000,-78.51666700000000,0,1,1,10,12,17,20,24,28,30,31,34
Tungurahua,Pelileo,-1.327500000000000,-78.54083300000001,16,24,49,73,86,101,120,145,165,183,199,212
Tungurahua,Píllaro,-1.175833000000000,-78.55527800000000,13,26,41,53,71,83,93,111,132,146,157,174
Tungurahua,Quero,-1.379300000000000,-78.60700000000000,8,10,19,24,31,36,40,48,50,60,72,75
Tungurahua,Tisaleo,-1.350000000000000,-78.66666700000000,3,6,7,9,12,15,22,23,29,30,34,37
Zamora Chinchipe,Centinela del Cóndor,-3.894910000000000,-78.78140999999999,3,3,5,7,7,8,8,10,13,13,13,13
Zamora Chinchipe,Chinchipe,-4.862800000000000,-79.13280000000000,3,5,7,8,10,14,19,20,20,24,28,30
Zamora Chinchipe,El Pangui,-3.624900000000000,-78.58710000000001,4,5,6,8,8,9,10,10,12,15,17,18
Zamora Chinchipe,Nangaritza,-4.048333000000000,-78.68222200000000,0,3,5,6,6,6,8,9,9,11,13,15
Zamora Chinchipe,Palanda,-4.649800000000000,-79.13209999999999,1,2,4,7,7,9,9,10,11,13,13,14
Zamora Chinchipe,Paquisha,-3.932750000000000,-78.67426000000000,2,6,9,11,12,13,13,13,13,13,13,13
Zamora Chinchipe,Yacuambi,-3.634440000000000,-78.92810000000000,0,0,0,1,1,3,3,6,7,8,12,13
Zamora Chinchipe,Yantzaza,-3.850000000000000,-78.75000000000000,2,7,15,19,22,27,33,40,46,51,60,63
Zamora Chinchipe,Zamora,-4.120000000000000,-78.80000000000000,10,15,18,20,25,34,36,41,48,58,68,74
