inec_provincia_id,provincia,inec_canton_id,canton,lat,lng,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
12,Los Ríos,1207,Ventanas,-1.450000000000000,-79.47000000000000,29,46,74,93,118,137,161,178,196,213,233,255
12,Los Ríos,1208,Vinces,-1.558333000000000,-79.75000000000000,22,50,78,104,133,158,191,226,248,271,291,313
13,Manabí,1302,Bolívar,-0.8419440000000000,-80.16194400000001,6,20,31,49,65,78,90,106,119,126,137,152
13,Manabí,1303,Chone,-0.6833330000000000,-80.09999999999999,56,98,145,187,219,265,310,355,399,458,514,557
13,Manabí,1304,El Carmen,-1.314700000000000,-80.01690000000001,22,47,69,88,114,133,159,191,212,233,256,285
13,Manabí,1305,Flavio Alfaro,-0.4054000000000000,-79.90580000000000,13,17,27,34,41,50,57,62,67,75,82,90
13,Manabí,1320,Jama,-0.2014000000000000,-80.26590000000000,3,8,14,19,25,30,33,43,44,48,52,56
13,Manabí,1321,Jaramijó,-0.9487300000000000,-80.63630000000001,1,3,9,13,17,20,24,27,31,36,38,41
13,Manabí,1306,Jipijapa,-1.333330000000000,-80.58329999999999,28,52,98,125,152,188,215,247,282,314,343,365
13,Manabí,1307,Junín,-0.9291600000000000,-80.20569000000000,8,13,18,21,29,34,44,49,51,52,56,61
13,Manabí,1308,Manta,-0.9500220000000000,-80.71620000000000,113,218,343,461,561,679,809,930,1094,1224,1343,1457
13,Manabí,1309,Montecristi,-1.033330000000000,-80.65000000000001,14,30,44,59,74,90,105,122,130,144,158,168
13,Manabí,1318,Olmedo,-1.396111000000000,-80.20611100000001,2,6,8,12,16,24,25,30,31,31,33,35
13,Manabí,1310,Paján,-1.570000000000000,-80.42000000000000,16,29,47,59,68,79,97,115,124,138,156,173
13,Manabí,1317,Pedernales,0.07010000000000000,-80.05360000000000,13,21,27,40,51,59,69,82,97,108,123,136
13,Manabí,1311,Pichincha,-1.047300000000000,-79.81860000000000,15,21,25,35,41,49,58,64,72,79,87,91
13,Manabí,1301,Portoviejo,-1.056181000000000,-80.45521700000000,141,288,436,558,707,848,992,1136,1274,1408,1540,1696
13,Manabí,1319,Puerto López,-1.566667000000000,-80.81666700000000,5,11,17,23,26,28,33,39,42,45,53,55
13,Manabí,1312,Rocafuerte,-0.9200000000000000,-80.45999999999999,12,25,37,46,56,61,74,80,90,101,113,119
