inec_provincia_id,provincia,inec_canton_id,canton,lat,lng,Semana 1,Semana 2,Semana 3,Semana 4,Semana 5,Semana 6,Semana 7,Semana 8,Semana 9,Semana 10,Semana 11,Semana 12,Semana 13,Semana 14,Semana 15,Semana 16,Semana 17,Semana 18,Semana 19,Semana 20,Semana 21,Semana 22,Semana 23,Semana 24,Semana 25,Semana 26,Semana 27,Semana 28,Semana 29,Semana 30,Semana 31,Semana 32,Semana 33,Semana 34,Semana 35,Semana 36,Semana 37,Semana 38,Semana 39,Semana 40,Semana 41,Semana 42,Semana 43,Semana 44,Semana 45,Semana 46,Semana 47,Semana 48,Semana 49,Semana 50,Semana 51,Semana 52
06,Chimborazo,0607,Guano,-1.583333000000000,-78.63333299999999,2,4,2,1,3,0,2,1,4,0,2,4,6,2,2,1,4,3,0,2,1,2,0,1,3,1,1,5,1,3,3,5,2,1,4,5,2,6,5,3,3,2,6,3,1,3,1,4,4,3,3,2
06,Chimborazo,0608,Pallatanga,-1.983333000000000,-78.95000000000000,1,2,1,0,1,0,3,0,1,1,0,0,0,2,1,0,2,0,0,1,0,0,0,0,1,1,1,0,2,2,1,1,3,0,1,1,3,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0
06,Chimborazo,0609,Penipe,-1.557300000000000,-78.53959999999999,1,1,1,1,1,0,0,0,0,1,0,0,2,0,0,0,1,2,0,0,3,0,0,2,0,0,0,0,1,1,1,1,1,0,0,0,0,0,3,2,0,0,0,2,1,1,1,2,0,0,0,1
06,Chimborazo,0601,Riobamba,-1.674347000000000,-78.64829400000001,40,32,31,32,41,37,33,35,29,37,33,18,21,31,34,31,19,32,24,42,19,17,29,29,30,20,37,40,23,24,29,29,22,26,28,30,27,28,36,31,32,29,29,23,24,20,26,31,23,30,30,22
05,Cotopaxi,0502,La Maná,-0.9300000000000000,-79.22000000000000,1,1,2,2,4,1,0,6,0,4,4,3,1,0,2,4,1,5,3,4,1,3,2,4,2,3,2,3,5,1,1,4,1,4,3,5,1,4,5,3,4,3,0,0,2,4,2,1,2,3,2,0
05,Cotopaxi,0501,Latacunga,-0.9333330000000000,-78.61666700000001,27,21,24,21,24,13,31,27,21,22,14,16,20,14,17,26,24,15,26,21,11,24,27,28,23,25,19,18,17,17,16,23,16,16,18,18,14,24,20,19,20,21,25,19,13,16,23,13,22,17,17,20
05,Cotopaxi,0503,Pangua,-1.133333000000000,-79.06666700000000,3,1,0,2,0,1,2,0,1,1,0,0,0,2,3,1,0,0,0,1,2,1,1,0,1,2,3,4,1,2,0,0,1,0,3,2,1,2,1,0,1,0,0,1,0,1,2,2,0,1,1,1
05,Cotopaxi,0504,Pujilí,-0.9500000000000000,-78.69000000000000,6,8,7,5,5,3,6,7,10,3,5,4,4,6,1,5,3,0,3,1,6,1,4,6,5,4,9,7,5,1,3,1,6,2,5,11,4,1,2,2,7,5,7,7,4,5,5,3,0,4,6,1
05,Cotopaxi,0505,Salcedo,-1.050000000000000,-78.58333300000000,3,5,4,5,4,3,2,4,5,6,1,4,3,4,9,6,4,2,4,4,9,5,6,7,2,4,2,2,6,4,5,5,5,3,5,2,3,2,4,1,4,1,1,8,1,3,5,5,4,4,4,3
05,Cotopaxi,0506,Saquisilí,-0.8300000000000000,-78.67000000000000,4,3,4,3,1,3,1,2,1,4,0,0,1,0,0,2,0,1,1,0,0,2,0,2,3,3,7,0,2,1,2,2,1,0,1,1,1,1,2,6,0,2,0,0,0,5,2,3,3,3,1,0
05,Cotopaxi,0507,Sigchos,-0.7000000000000000,-78.88333299999999,1,2,2,1,3,1,0,0,0,2,2,1,1,2,1,1,0,2,2,3,1,1,1,0,1,1,2,2,2,1,2,0,1,2,0,5,1,2,3,1,0,1,0,0,3,0,0,3,2,2,0,0
07,El Oro,0702,Arenillas,-3.550000000000000,-80.06000000000000,3,1,0,1,0,4,2,1,2,3,0,1,2,0,2,2,2,1,1,0,3,0,0,1,0,3,2,0,0,4,1,0,0,2,2,2,3,3,1,1,0,3,1,0,2,1,4,3,1,3,2,0
07,El Oro,0703,Atahualpa,-2.900000000000000,-78.93333300000000,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,2,0,0,0,2,2,0
07,El Oro,0704,Balsas,-3.762600000000000,-79.82530000000000,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,2,1,1,1,10,1,1,0,1,0,0,1,0,1,2,0,1,0,0
07,El Oro,0705,Chilla,-3.450000000000000,-79.58000000000000,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
07,El Oro,0706,El Guabo,-3.238800000000000,-79.82920000000000,4,2,3,0,1,3,7,4,2,3,1,3,3,1,4,2,4,3,2,1,3,5,5,1,3,3,1,1,1,3,1,2,7,6,5,3,4,5,1,3,2,0,2,3,3,3,2,3,2,5,5,2
07,El Oro,0707,Huaquillas,-3.481380000000000,-80.24320700000000,4,1,3,4,5,3,2,5,6,4,0,3,2,3,3,3,4,6,1,3,5,3,5,0,2,3,1,3,2,2,3,2,3,0,2,0,2,4,3,1,2,1,5,4,4,3,3,4,3,4,5,1
