provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017,Jul-2017,Aug-2017,Sep-2017,Oct-2017,Nov-2017,Dec-2017
Los Ríos,921763,Valencia,54637,-0.9525000000000000,-79.35310000000000,2,7,7,9,7,4,9,8,6,7,8,5
Los Ríos,921763,Ventanas,75146,-1.450000000000000,-79.47000000000000,21,25,22,20,18,22,23,26,12,18,20,15
Los Ríos,921763,Vinces,82329,-1.558333000000000,-79.75000000000000,23,20,34,30,37,21,23,22,25,38,20,24
Manabí,1562079,Bolívar,45493,-0.8419440000000000,-80.16194400000001,19,14,14,21,17,12,12,12,11,14,14,15
Manabí,1562079,Chone,131002,-0.6833330000000000,-80.09999999999999,31,44,52,40,59,34,40,57,41,40,55,53
Manabí,1562079,El Carmen,111344,-1.314700000000000,-80.01690000000001,30,25,25,23,28,30,29,17,24,22,24,17
Manabí,1562079,Flavio Alfaro,23822,-0.4054000000000000,-79.90580000000000,16,7,10,8,7,8,9,6,6,9,2,5
Manabí,1562079,Jama,26116,-0.2014000000000000,-80.26590000000000,1,3,6,2,2,2,4,0,5,5,2,0
Manabí,1562079,Jaramijó,28439,-0.9487300000000000,-80.63630000000001,3,5,3,5,1,1,3,8,4,3,0,1
Manabí,1562079,Jipijapa,74645,-1.333330000000000,-80.58329999999999,25,39,43,34,35,23,25,22,22,25,38,39
Manabí,1562079,Junín,18820,-0.9291600000000000,-80.20569000000000,7,4,3,5,7,4,5,6,5,6,2,5
Manabí,1562079,Manta,264281,-0.9500220000000000,-80.71620000000000,126,122,139,132,80,96,105,116,100,120,117,85
Manabí,1562079,Montecristi,107785,-1.033330000000000,-80.65000000000001,14,10,13,4,15,15,12,16,8,8,18,13
Manabí,1562079,Olmedo,10194,-1.396111000000000,-80.20611100000001,3,2,4,2,2,2,1,9,4,3,3,2
Manabí,1562079,Paján,37093,-1.570000000000000,-80.42000000000000,19,19,15,18,17,7,21,8,13,14,11,13
Manabí,1562079,Pedernales,63441,0.07010000000000001,-80.05360000000000,5,11,10,11,9,5,7,10,11,9,8,4
Manabí,1562079,Pichincha,29599,-1.047300000000000,-79.81860000000000,8,7,7,16,11,9,6,14,9,7,9,4
Manabí,1562079,Portoviejo,321800,-1.056181000000000,-80.45521700000000,147,132,160,139,143,143,132,158,128,128,153,136
Manabí,1562079,Puerto López,24688,-1.566667000000000,-80.81666700000000,7,2,6,1,2,4,6,6,3,3,4,5
Manabí,1562079,Rocafuerte,37312,-0.9199999999999999,-80.45999999999999,8,9,16,11,12,5,17,10,8,6,14,18
Manabí,1562079,San Vicente,24799,-0.5892999999999999,-80.40880000000000,9,3,5,3,8,4,8,5,8,6,3,3
Manabí,1562079,Santa Ana,48152,-1.206900000000000,-80.37090000000001,13,13,18,11,14,10,13,13,13,13,11,10
Manabí,1562079,Sucre,62443,-0.6000000000000000,-80.41666700000000,24,33,20,21,10,10,24,19,16,19,24,24
Manabí,1562079,Tosagua,42297,-0.7800000000000000,-80.26000000000001,8,9,13,12,11,6,6,13,11,8,12,5
Manabí,1562079,Veinticuatro de Mayo,28514,-1.278889000000000,-80.42000000000000,20,9,10,11,6,7,9,13,8,10,10,6
Morona Santiago,196535,Gualaquiza,19555,-3.380000000000000,-78.58000000000000,7,4,5,5,4,8,4,4,8,5,2,1
Morona Santiago,196535,Huamboya,12382,-1.785000000000000,-78.23194400000000,1,1,0,3,2,0,2,3,0,3,2,2
Morona Santiago,196535,Limón Indanza,10349,-2.966250000000000,-78.43052800000000,8,2,5,1,4,2,3,1,2,0,0,0
Morona Santiago,196535,Logroño,7643,-2.624800000000000,-78.18960000000000,1,0,0,1,0,1,1,0,1,0,0,0
Morona Santiago,196535,Morona,58281,-2.300000000000000,-78.11666700000001,17,19,14,13,9,20,18,18,11,13,9,12
Morona Santiago,196535,Pablo Sexto,2897,-1.803056000000000,-77.92111100000000,0,0,0,1,2,0,1,0,0,0,2,0
Morona Santiago,196535,Palora,7719,-1.700000000000000,-77.94000000000000,0,3,2,0,0,3,0,0,3,0,0,3
Morona Santiago,196535,San Juan Bosco,4985,-3.092300000000000,-78.51320000000000,0,2,2,0,1,0,2,2,1,0,1,2
Morona Santiago,196535,Santiago,11087,-3.429800000000000,-78.56560000000000,1,1,2,1,2,4,4,3,3,1,2,1
Morona Santiago,196535,Sucúa,23823,-2.460000000000000,-78.17000000000000,5,4,6,4,5,13,10,5,9,7,6,4
Morona Santiago,196535,Taisha,26773,-2.339950000000000,-77.45808000000000,0,3,2,3,4,1,1,5,3,1,3,1
Morona Santiago,196535,Tiwintza,11041,-2.917670000000000,-77.80170000000000,0,0,0,1,0,2,0,0,0,1,1,0
Napo,133705,Archidona,33068,-0.9166670000000000,-77.78333300000000,12,10,10,5,6,4,12,9,7,10,7,5
Napo,133705,Carlos Julio Arosemena Tola,4466,-1.166667000000000,-77.84999999999999,0,0,0,0,1,0,3,0,2,2,0,1
Napo,133705,El Chaco,10142,-0.3402780000000000,-77.80888899999999,2,2,1,5,4,2,1,1,4,2,1,1
Napo,133705,Quijos,6847,-0.4636110000000000,-77.89277800000001,3,4,2,3,2,0,0,4,3,1,2,1
Napo,133705,Tena,79182,-0.9890000000000000,-77.81590000000000,17,24,16,11,22,11,16,12,12,17,13,21
Orellana,161338,Aguarico,3629,-0.9211110000000000,-75.39916700000001,1,0,3,4,3,0,0,2,0,2,1,1
Orellana,161338,La Joya de los Sachas,39352,-0.3000000000000000,-76.84999999999999,8,11,7,3,5,5,10,7,6,5,8,11
Orellana,161338,Loreto,24579,-0.6904000000000000,-77.30830000000000,6,2,5,4,5,2,2,4,4,3,6,4
Orellana,161338,Orellana,93778,-0.4666670000000000,-76.96666700000000,18,13,29,17,20,10,18,21,16,25,12,14
Otro,0,Las Golondrinas,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Otro,0,Otro,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pastaza,114202,Arajuno,8128,-1.234370000000000,-77.68750000000000,1,2,1,1,0,1,1,2,0,0,1,0
Pastaza,114202,Mera,17547,-1.460000000000000,-78.09000000000000,2,4,1,1,3,1,1,2,3,0,2,1
Pastaza,114202,Pastaza,84377,-1.066667000000000,-78.00111099999999,20,14,24,29,20,11,25,23,16,20,20,19
Pastaza,114202,Santa Clara,4150,-1.267100000000000,-77.88820000000000,0,0,0,1,0,2,0,0,0,0,0,2
Pichincha,3228233,Cayambe,107660,0.04388900000000000,-78.15610000000000,26,24,24,28,18,21,27,31,21,26,25,19
Pichincha,3228233,Mejía,108167,-0.5101000000000000,-78.56980000000000,20,24,19,34,21,31,29,16,18,15,17,21
Pichincha,3228233,Pedro Moncayo,43281,0.04369700000000000,-78.34923999999999,12,7,9,3,10,6,12,5,7,5,4,10
Pichincha,3228233,Pedro Vicente Maldonado,17171,0.1666670000000000,-79,2,6,2,1,4,1,1,4,2,4,0,0
Pichincha,3228233,Puerto Quito,24911,0.1170000000000000,-79.26400000000000,5,1,5,4,2,6,4,5,4,4,4,2
Pichincha,3228233,Quito,2781641,-0.2186110000000000,-78.50972200000000,1033,915,994,952,952,888,963,895,903,998,934,1020
Pichincha,3228233,Rumiñahui,115433,-0.3345000000000000,-78.44750000000001,29,25,26,25,29,22,24,23,20,23,19,26
Pichincha,3228233,San Miguel de Los Bancos,29969,0.02300000000000000,-78.89200000000000,1,2,6,1,1,7,5,6,3,4,2,2
Santa Elena,401178,La Libertad,117767,-2.233333000000000,-80.90000000000001,28,22,30,20,17,23,21,12,14,17,24,14
Santa Elena,401178,Salinas,94590,-2.216667000000000,-80.95000000000000,24,18,36,29,18,27,25,25,24,24,25,19
Santa Elena,401178,Santa Elena,188821,-2.226700000000000,-80.85830000000000,71,71,95,77,60,60,59,44,59,52,43,49
Sto. Domingo Tsáchilas,511151,La Concordia,52571,0.002300000000000000,-79.38460000000001,14,10,8,14,9,17,16,13,11,4,10,11
Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,-0.2541670000000000,-79.17194400000000,156,139,181,124,168,153,139,146,159,156,150,145
Sucumbíos,230503,Cascales,15882,-0.06750000000000000,-77.21694400000000,3,6,1,2,2,3,2,3,3,2,1,1
Sucumbíos,230503,Cuyabeno,7154,-0.1288890000000000,-76.41388900000000,1,0,0,3,2,1,1,2,0,0,0,4
