inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,Jan-2017,Feb-2017,Mar-2017,Apr-2017,May-2017,Jun-2017,Jul-2017,Aug-2017,Sep-2017,Oct-2017,Nov-2017,Dec-2017
15,Napo,133705,1509,Carlos Julio Arosemena Tola,4466,-1.1666670000000001,-77.85,0,0,0,0,1,0,3,0,2,2,0,1
15,Napo,133705,1504,El Chaco,10142,-0.34027799999999997,-77.808889,2,2,1,5,4,2,1,1,4,2,1,1
15,Napo,133705,1507,Quijos,6847,-0.463611,-77.892778,3,4,2,3,2,0,0,4,3,1,2,1
15,Napo,133705,1501,Tena,79182,-0.989,-77.8159,17,24,16,11,22,11,16,12,12,17,13,21
22,Orellana,161338,2202,Aguarico,3629,-0.921111,-75.399167,1,0,3,4,3,0,0,2,0,2,1,1
22,Orellana,161338,2203,La Joya de los Sachas,39352,-0.3,-76.85,8,11,7,3,5,5,10,7,6,5,8,11
22,Orellana,161338,2204,Loreto,24579,-0.6904,-77.3083,6,2,5,4,5,2,2,4,4,3,6,4
22,Orellana,161338,2201,Orellana,93778,-0.466667,-76.966667,18,13,29,17,20,10,18,21,16,25,12,14
90,Otro,0,9001,Las Golondrinas,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
88,Otro,0,8800,Otro,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,Pastaza,114202,1604,Arajuno,8128,-1.2343700000000002,-77.6875,1,2,1,1,0,1,1,2,0,0,1,0
16,Pastaza,114202,1602,Mera,17547,-1.4600000000000002,-78.09,2,4,1,1,3,1,1,2,3,0,2,1
16,Pastaza,114202,1601,Pastaza,84377,-1.066667,-78.001111,20,14,24,29,20,11,25,23,16,20,20,19
16,Pastaza,114202,1603,Santa Clara,4150,-1.2671000000000001,-77.8882,0,0,0,1,0,2,0,0,0,0,0,2
17,Pichincha,3228233,1702,Cayambe,107660,0.043889000000000004,-78.1561,26,24,24,28,18,21,27,31,21,26,25,19
17,Pichincha,3228233,1703,Mejía,108167,-0.5101,-78.5698,20,24,19,34,21,31,29,16,18,15,17,21
17,Pichincha,3228233,1704,Pedro Moncayo,43281,0.043697,-78.34924,12,7,9,3,10,6,12,5,7,5,4,10
17,Pichincha,3228233,1708,Pedro Vicente Maldonado,17171,0.166667,-79,2,6,2,1,4,1,1,4,2,4,0,0
17,Pichincha,3228233,1709,Puerto Quito,24911,0.11699999999999999,-79.264,5,1,5,4,2,6,4,5,4,4,4,2
