provincia,provincia_poblacion,canton,canton_poblacion,total,lat,lng,created_at
Manabí,1562079,Santa Ana,48152,2,-1.206900000000000,-80.37090000000001,28/04/2020
Manabí,1562079,Sucre,62443,0,-0.6000000000000000,-80.41666700000000,28/04/2020
Manabí,1562079,Paján,37093,2,-1.570000000000000,-80.42000000000000,28/04/2020
Manabí,1562079,Jaramijó,28439,2,-0.9487300000000000,-80.63630000000001,28/04/2020
Manabí,1562079,Junín,18820,0,-0.9291600000000000,-80.20569000000000,28/04/2020
Manabí,1562079,El Carmen,111344,7,-1.314700000000000,-80.01690000000001,28/04/2020
Manabí,1562079,Pichincha,29599,0,-1.047300000000000,-79.81860000000000,28/04/2020
Manabí,1562079,Chone,131002,5,-0.6833330000000000,-80.09999999999999,28/04/2020
Manabí,1562079,Flavio Alfaro,23822,0,-0.4054000000000000,-79.90580000000000,28/04/2020
Manabí,1562079,Tosagua,42297,2,-0.7800000000000000,-80.26000000000001,28/04/2020
Manabí,1562079,San Vicente,24799,0,-0.5892999999999999,-80.40880000000000,28/04/2020
Manabí,1562079,Pedernales,63441,0,0.07010000000000001,-80.05360000000000,28/04/2020
Manabí,1562079,Jama,26116,0,-0.2014000000000000,-80.26590000000000,28/04/2020
Manabí,1562079,Olmedo,10194,0,-1.396111000000000,-80.20611100000001,28/04/2020
Manabí,1562079,Puerto López,24688,0,-1.566667000000000,-80.81666700000000,28/04/2020
Napo,133705,Tena,79182,1,-0.9890000000000000,-77.81590000000000,28/04/2020
Napo,133705,Archidona,33068,1,-0.9166670000000000,-77.78333300000000,28/04/2020
Napo,133705,Carlos Julio Arosemena Tola,4466,0,-1.166667000000000,-77.84999999999999,28/04/2020
Napo,133705,El Chaco,10142,0,-0.3402780000000000,-77.80888899999999,28/04/2020
Napo,133705,Quijos,6847,0,-0.4636110000000000,-77.89277800000001,28/04/2020
Orellana,161338,Orellana,93778,1,-0.4666670000000000,-76.96666700000000,28/04/2020
Orellana,161338,La Joya de los Sachas,39352,0,-0.3000000000000000,-76.84999999999999,28/04/2020
Orellana,161338,Loreto,24579,0,-0.6904000000000000,-77.30830000000000,28/04/2020
Orellana,161338,Aguarico,3629,0,-0.9211110000000000,-75.39916700000001,28/04/2020
Morona Santiago,196535,Gualaquiza,19555,0,-3.380000000000000,-78.58000000000000,28/04/2020
Morona Santiago,196535,Morona,58281,0,-2.300000000000000,-78.11666700000001,28/04/2020
Morona Santiago,196535,Sucúa,23823,0,-2.460000000000000,-78.17000000000000,28/04/2020
Morona Santiago,196535,Palora,7719,1,-1.700000000000000,-77.94000000000000,28/04/2020
Morona Santiago,196535,Taisha,26773,0,-2.339950000000000,-77.45808000000000,28/04/2020
Morona Santiago,196535,Tiwintza,11041,0,-2.917670000000000,-77.80170000000000,28/04/2020
Morona Santiago,196535,Pablo Sexto,2897,0,-1.803056000000000,-77.92111100000000,28/04/2020
Morona Santiago,196535,Huamboya,12382,0,-1.785000000000000,-78.23194400000000,28/04/2020
Morona Santiago,196535,Santiago,11087,0,-3.429800000000000,-78.56560000000000,28/04/2020
Morona Santiago,196535,Logroño,7643,0,-2.624800000000000,-78.18960000000000,28/04/2020
Morona Santiago,196535,Limón Indanza,10349,0,-2.966250000000000,-78.43052800000000,28/04/2020
Morona Santiago,196535,San Juan Bosco,4985,0,-3.092300000000000,-78.51320000000000,28/04/2020
Pastaza,114202,Pastaza,84377,3,-1.066667000000000,-78.00111099999999,28/04/2020
Pastaza,114202,Mera,17547,0,-1.460000000000000,-78.09000000000000,28/04/2020
Pastaza,114202,Santa Clara,4150,0,-1.267100000000000,-77.88820000000000,28/04/2020
Pastaza,114202,Arajuno,8128,0,-1.234370000000000,-77.68750000000000,28/04/2020
Pichincha,3228233,Mejía,108167,2,-0.5101000000000000,-78.56980000000000,28/04/2020
Pichincha,3228233,Pedro Vicente Maldonado,17171,1,0.1666670000000000,-79,28/04/2020
Pichincha,3228233,Quito,2781641,60,-0.2186110000000000,-78.50972200000000,28/04/2020
Pichincha,3228233,Pedro Moncayo,43281,0,0.04369700000000000,-78.34923999999999,28/04/2020
Pichincha,3228233,Cayambe,107660,0,0.04388900000000000,-78.15610000000000,28/04/2020
Pichincha,3228233,Puerto Quito,24911,1,0.1170000000000000,-79.26400000000000,28/04/2020
Pichincha,3228233,Rumiñahui,115433,0,-0.3345000000000000,-78.44750000000001,28/04/2020
Pichincha,3228233,San Miguel de Los Bancos,29969,0,0.02300000000000000,-78.89200000000000,28/04/2020
Santa Elena,401178,Santa Elena,188821,24,-2.226700000000000,-80.85830000000000,28/04/2020
Santa Elena,401178,La Libertad,117767,17,-2.233333000000000,-80.90000000000001,28/04/2020
Santa Elena,401178,Salinas,94590,5,-2.216667000000000,-80.95000000000000,28/04/2020
Sto. Domingo Tsáchilas,511151,La Concordia,52571,2,0.002300000000000000,-79.38460000000001,28/04/2020
Sto. Domingo Tsáchilas,511151,Santo Domingo,458580,18,-0.2541670000000000,-79.17194400000000,28/04/2020
Sucumbíos,230503,Cuyabeno,7154,1,-0.1288890000000000,-76.41388900000000,28/04/2020
Sucumbíos,230503,Lago Agrio,119594,0,0.08472200000000002,-76.88277800000000,28/04/2020
Sucumbíos,230503,Shushufindi,57949,0,-0.1871000000000000,-76.64500000000000,28/04/2020
Sucumbíos,230503,Sucumbíos,3811,0,0.4592000000000000,-77.52300000000000,28/04/2020
Sucumbíos,230503,Gonzalo Pizarro,10007,0,0.04700000000000000,-77.32280000000000,28/04/2020
Sucumbíos,230503,Cascales,15882,0,-0.06750000000000000,-77.21694400000000,28/04/2020
Sucumbíos,230503,Putumayo,16106,0,0.1000000000000000,-75.84999999999999,28/04/2020
Tungurahua,590600,Ambato,387309,9,-1.241667000000000,-78.61972200000000,28/04/2020
Tungurahua,590600,Pelileo,66836,0,-1.327500000000000,-78.54083300000001,28/04/2020
Tungurahua,590600,Quero,20627,2,-1.379300000000000,-78.60700000000000,28/04/2020
Tungurahua,590600,Cevallos,9936,1,-1.350000000000000,-78.61666700000001,28/04/2020
Tungurahua,590600,Baños,25043,0,-1.396389000000000,-78.42472200000000,28/04/2020
Tungurahua,590600,Tisaleo,14317,0,-1.350000000000000,-78.66666700000000,28/04/2020
Tungurahua,590600,Píllaro,43371,0,-1.175833000000000,-78.55527800000000,28/04/2020
Tungurahua,590600,Patate,15825,0,-1.316667000000000,-78.51666700000000,28/04/2020
Tungurahua,590600,Mocha,7336,0,-1.416667000000000,-78.66666700000000,28/04/2020
Zamora Chinchipe,120416,Nangaritza,8014,0,-4.048333000000000,-78.68222200000000,28/04/2020
Zamora Chinchipe,120416,Yantzaza,26447,0,-3.850000000000000,-78.75000000000000,28/04/2020
Zamora Chinchipe,120416,Zamora,32761,2,-4.120000000000000,-78.80000000000000,28/04/2020
Zamora Chinchipe,120416,Centinela del Cóndor,8313,0,-3.894910000000000,-78.78140999999999,28/04/2020
Zamora Chinchipe,120416,Yacuambi,7121,0,-3.634440000000000,-78.92810000000000,28/04/2020
Zamora Chinchipe,120416,El Pangui,10945,0,-3.624900000000000,-78.58710000000001,28/04/2020
Zamora Chinchipe,120416,Paquisha,5992,0,-3.932750000000000,-78.67426000000000,28/04/2020
Zamora Chinchipe,120416,Palanda,10144,0,-4.649800000000000,-79.13209999999999,28/04/2020
Zamora Chinchipe,120416,Chinchipe,10679,0,-4.862800000000000,-79.13280000000000,28/04/2020
