inec_provincia_id,provincia,poblacion,total,nuevas,probables,lat,lng,created_at
10,Imbabura,476257,220,3,17,0.3626780000000000,-78.13066700000000,13/01/2021
11,Loja,521154,247,0,47,-3.983333000000000,-79.20000000000000,13/01/2021
12,Los Ríos,921763,363,0,242,-1.800000000000000,-79.53333300000000,13/01/2021
13,Manabí,1562079,1339,11,1061,-1.056181000000000,-80.45521700000000,13/01/2021
14,Morona Santiago,196535,37,0,0,-2.300000000000000,-78.11666700000001,13/01/2021
15,Napo,133705,79,0,3,-0.9890000000000000,-77.81590000000000,13/01/2021
22,Orellana,161338,53,0,18,-0.4666670000000000,-76.96666700000000,13/01/2021
16,Pastaza,114202,65,0,17,-1.066667000000000,-78.00111099999999,13/01/2021
17,Pichincha,3228233,2034,1,282,-0.2186110000000000,-78.50972200000000,13/01/2021
24,Santa Elena,401178,389,0,280,-2.226700000000000,-80.85830000000000,13/01/2021
23,Sto. Domingo Tsáchilas,511151,385,0,117,-0.2541670000000000,-79.17194400000000,13/01/2021
21,Sucumbíos,230503,101,0,3,0.08472200000000002,-76.88277800000000,13/01/2021
18,Tungurahua,590600,351,1,311,-1.241667000000000,-78.61972200000000,13/01/2021
19,Zamora Chinchipe,120416,56,0,1,-4.120000000000000,-78.80000000000000,13/01/2021
01,Azuay,881394,226,0,20,-2.897414000000000,-79.00448100000000,14/01/2021
02,Bolívar,209933,73,0,15,-1.605556000000000,-79.00305600000000,14/01/2021
04,Carchi,186869,138,3,2,0.8121800000000000,-77.71633000000000,14/01/2021
03,Cañar,281396,104,0,6,-2.733333000000000,-78.83333300000000,14/01/2021
