provincia,provincia_poblacion,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022
Guayas,4387434,Naranjal,95052,-2.672800000000000,-79.61499999999999,71270,71271,71367,71485,71608,71768,71939,72001
Guayas,4387434,Naranjito,43862,-2.173000000000000,-79.46710000000000,35802,35803,35885,35988,36270,36452,36618,36618
Guayas,4387434,Nobol,26444,-1.916671000000000,-80.01153900000000,21953,21953,21982,22023,22064,22100,22121,22144
Guayas,4387434,Palestina,18451,-1.626300000000000,-79.97700000000000,13515,13515,13546,13546,13546,13546,13546,13566
Guayas,4387434,Pedro Carbo,51802,-1.833333000000000,-80.23333300000000,37719,37719,37735,37873,37972,38100,38177,38238
Guayas,4387434,Playas,59628,-2.623330000000000,-80.38750000000000,49519,49521,49596,49721,49851,50000,50094,50168
Guayas,4387434,Salitre,65765,-1.829444000000000,-79.81555600000000,46048,46048,46118,46180,46256,46365,46485,46485
Guayas,4387434,Samborondón,102404,-2.183333000000000,-79.88333299999999,144491,144491,144613,144767,144917,145133,145354,145446
Guayas,4387434,San Jacinto De Yaguachi,78204,-2.120000000000000,-79.69000000000000,49104,49104,49209,49397,49561,49726,49897,49938
Guayas,4387434,Santa Lucía,45004,-1.713889000000000,-79.98500000000000,34000,34000,34029,34079,34116,34146,34191,34222
Guayas,4387434,Simón Bolivar,32224,-2.156667000000000,-79.88750000000000,23568,23568,23617,23688,23761,23838,23932,23972
Imbabura,476257,Antonio Ante,54311,0.3200000000000000,-78.20999999999999,47033,47035,47087,47112,47176,47218,47267,47283
Imbabura,476257,Cotacachi,44203,0.3000000000000000,-78.26666700000000,42917,42923,43023,43158,43266,43376,43493,43577
Imbabura,476257,Ibarra,221149,0.3626780000000000,-78.13066700000000,175815,175816,175945,176100,176198,176446,176646,176646
Imbabura,476257,Otavalo,125785,0.2333330000000000,-78.26666700000000,102658,102669,102823,102987,103210,103397,103603,103726
