inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022
11,Loja,521154,1111,Saraguro,33506,-3.625300000000000,-79.24110000000000,67.66%,67.66%,67.81%,68%,68.17%,68.45%,68.64%,68.64%
11,Loja,521154,1112,Sozoranga,7121,-4.327778000000000,-79.78972200000000,63.6%,63.6%,63.71%,64.23%,64.32%,64.66%,64.92%,64.92%
11,Loja,521154,1113,Zapotillo,14325,-4.386360000000000,-80.24360000000000,91.37%,91.37%,91.5%,91.71%,91.9%,92.14%,92.41%,92.47%
12,Los Ríos,921763,1202,Baba,43429,-1.784167000000000,-79.67666699999999,67.85%,67.85%,67.85%,68.01%,68.36%,68.62%,68.85%,68.89%
12,Los Ríos,921763,1201,Babahoyo,175281,-1.800000000000000,-79.53333300000000,66%,66%,66.26%,66.61%,67.07%,67.46%,67.8%,67.82%
12,Los Ríos,921763,1210,Buena Fe,83654,-0.8985720000000000,-79.48891600000000,69%,69%,69.17%,69.37%,69.5%,69.8%,70.09%,70.27%
12,Los Ríos,921763,1212,Mocache,43316,-1.183850000000000,-79.50552999999999,56.96%,56.96%,56.96%,56.96%,57.33%,57.71%,58.08%,58.35%
12,Los Ríos,921763,1203,Montalvo,28720,-1.793800000000000,-79.28570000000001,72.07%,72.07%,72.08%,72.44%,73.05%,73.66%,74.17%,74.33%
12,Los Ríos,921763,1209,Palenque,23638,-1.432800000000000,-79.74950000000000,55.59%,55.59%,55.73%,55.99%,56.23%,56.47%,56.72%,56.72%
12,Los Ríos,921763,1204,Puebloviejo,44725,-1.550000000000000,-79.53388900000000,71.14%,71.14%,71.38%,71.59%,72.01%,72.36%,72.74%,72.82%
12,Los Ríos,921763,1205,Quevedo,213842,-1.033333000000000,-79.45000000000000,67.68%,67.68%,67.88%,68.18%,68.6%,68.97%,69.25%,69.36%
12,Los Ríos,921763,1213,Quinsaloma,20428,-1.206200000000000,-79.31450000000000,73.59%,73.59%,73.85%,74.13%,74.54%,74.8%,75.07%,75.07%
12,Los Ríos,921763,1206,Urdaneta,32618,-1.570556000000000,-79.47111099999999,73.39%,73.39%,73.75%,74.12%,74.61%,75.17%,75.7%,75.77%
12,Los Ríos,921763,1211,Valencia,54637,-0.9525000000000000,-79.35310000000000,72.13%,72.13%,72.4%,72.73%,73%,73.38%,73.63%,73.79%
12,Los Ríos,921763,1207,Ventanas,75146,-1.450000000000000,-79.47000000000000,68.42%,68.42%,68.67%,68.94%,69.29%,69.62%,69.95%,70.03%
12,Los Ríos,921763,1208,Vinces,82329,-1.558333000000000,-79.75000000000000,72.91%,72.93%,73.22%,73.54%,73.78%,74.1%,74.35%,74.47%
13,Manabí,1562079,1302,Bolívar,45493,-0.8419440000000000,-80.16194400000001,79.83%,79.85%,80.15%,80.58%,81.01%,81.36%,81.76%,81.96%
13,Manabí,1562079,1303,Chone,131002,-0.6833330000000000,-80.09999999999999,71.81%,71.81%,72.04%,72.28%,72.66%,73.07%,73.4%,73.48%
13,Manabí,1562079,1304,El Carmen,111344,-1.314700000000000,-80.01690000000001,86.49%,86.49%,86.66%,86.74%,87.07%,87.44%,87.94%,88.19%
