inec_provincia_id,provincia,provincia_poblacion,inec_canton_id,canton,canton_poblacion,lat,lng,01/01/2022,02/01/2022,03/01/2022,04/01/2022,05/01/2022,06/01/2022,07/01/2022,08/01/2022,09/01/2022,10/01/2022,11/01/2022,12/01/2022,13/01/2022,14/01/2022,15/01/2022,16/01/2022,17/01/2022,18/01/2022,19/01/2022,20/01/2022,21/01/2022,22/01/2022,23/01/2022,24/01/2022,25/01/2022,26/01/2022,27/01/2022,28/01/2022
06,Chimborazo,524004,0604,Chambo,13378,-1.733333000000000,-78.58333300000000,12.14%,12.14%,12.53%,13.6%,14.14%,15.25%,16.46%,16.46%,8.23%,8.91%,9.81%,10.39%,10.91%,11.39%,11.51%,11.51%,12.39%,12.81%,12.99%,13.11%,13.4%,13.45%,13.45%,13.63%,13.84%,13.95%,14.02%,14.26%
06,Chimborazo,524004,0605,Chunchi,12795,-2.283333000000000,-78.91666700000000,18.44%,18.63%,18.82%,19.37%,20.05%,20.52%,20.88%,20.88%,10.84%,10.84%,11.28%,11.79%,12.31%,12.47%,12.55%,12.68%,13.01%,13.29%,13.9%,14.62%,14.91%,14.91%,15.05%,15.24%,15.32%,15.57%,15.65%,15.76%
06,Chimborazo,524004,0603,Colta,44838,-1.700000000000000,-78.75000000000000,9.38%,9.79%,10.25%,10.77%,11.33%,11.85%,12.18%,12.36%,6.45%,7.06%,7.38%,7.77%,8.45%,8.75%,8.77%,8.93%,9.28%,9.48%,9.76%,9.92%,10.09%,10.13%,10.24%,10.5%,10.77%,11.01%,11.12%,11.56%
06,Chimborazo,524004,0610,Cumandá,17973,-2.200000000000000,-79.13333299999999,9.08%,9.08%,9.36%,9.68%,10.08%,10.47%,10.89%,11.26%,5.69%,5.9%,6.11%,6.36%,6.58%,6.78%,6.84%,6.89%,7.05%,7.28%,7.43%,7.48%,7.53%,7.56%,7.59%,7.73%,7.8%,7.87%,7.94%,8%
06,Chimborazo,524004,0606,Guamote,58291,-1.933333000000000,-78.71666700000000,3.85%,3.88%,3.96%,4.02%,4.14%,4.2%,4.29%,4.3%,2.19%,2.25%,2.32%,2.4%,2.57%,2.68%,2.7%,2.7%,2.95%,3.05%,3.13%,3.2%,3.31%,3.31%,3.4%,3.49%,3.55%,3.65%,3.76%,3.85%
06,Chimborazo,524004,0607,Guano,48395,-1.583333000000000,-78.63333299999999,17.63%,17.7%,18.2%,18.95%,19.79%,20.72%,21.61%,22.06%,11.34%,12.09%,12.77%,13.51%,14.14%,14.64%,14.82%,15.08%,15.77%,16.33%,16.55%,16.86%,17.15%,17.22%,17.34%,17.83%,18.13%,18.26%,18.52%,18.69%
06,Chimborazo,524004,0608,Pallatanga,12277,-1.983333000000000,-78.95000000000000,19.47%,19.52%,19.87%,19.99%,20.38%,20.56%,21.03%,21.23%,10.7%,11%,11.22%,11.58%,11.81%,12.1%,12.19%,12.33%,12.54%,12.92%,13.34%,13.51%,13.61%,13.61%,13.81%,13.94%,14.06%,14.19%,14.34%,14.43%
06,Chimborazo,524004,0609,Penipe,6955,-1.557300000000000,-78.53959999999999,41.87%,42.13%,43.71%,44.74%,46.07%,47.65%,49.83%,49.83%,26.02%,27.91%,30.84%,33.16%,34.84%,36.46%,36.46%,36.94%,38.4%,39.01%,39.47%,39.99%,40.49%,40.49%,40.79%,41.24%,41.73%,42.3%,42.7%,42.96%
06,Chimborazo,524004,0601,Riobamba,264048,-1.674347000000000,-78.64829400000001,18.34%,18.35%,19.22%,20.18%,21.11%,21.92%,22.9%,23.31%,11.72%,12.24%,12.87%,13.42%,14.14%,14.76%,15.05%,15.33%,16.03%,16.52%,16.77%,17.06%,17.53%,17.78%,17.95%,18.2%,18.53%,18.76%,18.96%,19.26%
05,Cotopaxi,488716,0502,La Maná,56905,-0.9300000000000000,-79.22000000000000,7.42%,7.42%,7.64%,8.03%,8.58%,9.18%,9.59%,9.59%,4.8%,4.99%,5.25%,5.52%,5.77%,5.9%,5.94%,5.94%,6.08%,6.29%,6.36%,6.48%,6.55%,6.59%,6.63%,6.69%,7.01%,7.12%,7.22%,7.34%
